College,Season,Coach,username,Coach,Role,Race
Nebraska,2020,Sean Beckton,sean-beckton,Sean Beckton,Tight Ends Coach,#N/A
Nebraska,2020,Tony Tuioti,tony-tuioti,Tony Tuioti,Defensive Line Coach,#N/A
Nebraska,2020,Travis Fisher,travis-fisher,Travis Fisher,Defensive Backs Coach,#N/A
Nebraska,2021,Barrett Ruud,barrett-ruud,Barrett Ruud,Inside Linebackers Coach,#N/A
Nebraska,2021,Erik Chinander,erik-chinander,Erik Chinander,Defensive Coordinator,White
Nebraska,2021,Greg Austin,greg-austin,Greg Austin,Offensive Line Coach/Run Game Coordinator,Black
Nebraska,2021,Mario Verduzco,mario-verduzco,Mario Verduzco,Quarterbacks Coach,White
Nebraska,2021,Matt Lubick,matt-lubick,Matt Lubick,Wide Receivers Coach/Offensive Coordinator,White
Nebraska,2021,Mike Dawson,mike-dawson,Mike Dawson,Outside Linebackers Coach/Special Teams Coordinator,White
Nebraska,2021,Ryan Held,ryan-held,Ryan Held,Running Backs Coach/Recruiting Coordinator,White
Nebraska,2021,Scott Frost,scott-frost,Scott Frost,Head Coach,White
Nebraska,2021,Sean Beckton,sean-beckton,Sean Beckton,Tight Ends Coach,#N/A
Nebraska,2021,Tony Tuioti,tony-tuioti,Tony Tuioti,Defensive Line Coach,#N/A
Nebraska,2021,Travis Fisher,travis-fisher,Travis Fisher,Defensive Backs Coach,#N/A
Nevada,2000,Bill Tripp,bill-tripp,Bill Tripp,Tight Ends Coach/Offensive Line Coach,#N/A
Nevada,2000,Chris Tormey,chris-tormey,Chris Tormey,Head Coach,White
Nevada,2000,D.J. McCarthy,dj-mccarthy,D.J. McCarthy,Wide Receivers Coach,#N/A
Nevada,2000,Jeff Mills,jeff-mills,Jeff Mills,Defensive Coordinator/Outside Linebackers Coach,White
Nevada,2000,Jim House,jim-house,Jim House,Offensive Line Coach,#N/A
Nevada,2000,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach/Assistant Head Coach,White
Nevada,2000,Kim McCloud,kim-mccloud,Kim McCloud,Defensive Backs Coach,Black
Nevada,2000,Mark Johnson,mark-johnson,Mark Johnson,Inside Linebackers Coach/Special Teams Coordinator,White
Nevada,2000,Mike Tuiasosopo,mike-tuiasosopo,Mike Tuiasosopo,Defensive Line Coach,Other
Nevada,2000,Phil Earley,phil-earley,Phil Earley,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2001,Chris Tormey,chris-tormey,Chris Tormey,Head Coach,White
Nevada,2001,D.J. McCarthy,dj-mccarthy,D.J. McCarthy,Wide Receivers Coach,#N/A
Nevada,2001,Jeff Mills,jeff-mills,Jeff Mills,Defensive Coordinator/Outside Linebackers Coach,White
Nevada,2001,Jim House,jim-house,Jim House,Tight Ends Coach,#N/A
Nevada,2001,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach,White
Nevada,2001,Kim McCloud,kim-mccloud,Kim McCloud,Defensive Backs Coach,Black
Nevada,2001,Mark Johnson,mark-johnson,Mark Johnson,Inside Linebackers Coach,White
Nevada,2001,Mike Tuiasosopo,mike-tuiasosopo,Mike Tuiasosopo,Defensive Line Coach,Other
Nevada,2001,Phil Earley,phil-earley,Phil Earley,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2001,Steve Morton,steve-morton,Steve Morton,Offensive Line Coach,White
Nevada,2002,Barry Sacks,barry-sacks,Barry Sacks,Tight Ends Coach/Special Teams Coordinator,White
Nevada,2002,Chris Tormey,chris-tormey,Chris Tormey,Head Coach,White
Nevada,2002,D.J. McCarthy,dj-mccarthy,D.J. McCarthy,Wide Receivers Coach,#N/A
Nevada,2002,Dave Stromswold,dave-stromswold,Dave Stromswold,Offensive Line Coach,#N/A
Nevada,2002,Denny Schuler,denny-schuler,Denny Schuler,Safeties Coach/Rovers Coach,#N/A
Nevada,2002,Jeff Mills,jeff-mills,Jeff Mills,Defensive Coordinator/Linebackers Coach,White
Nevada,2002,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach/Assistant Head Coach,White
Nevada,2002,Kim McCloud,kim-mccloud,Kim McCloud,Defensive Backs Coach,Black
Nevada,2002,Mike Tuiasosopo,mike-tuiasosopo,Mike Tuiasosopo,Defensive Line Coach,Other
Nevada,2002,Phil Earley,phil-earley,Phil Earley,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2003,Barry Sacks,barry-sacks,Barry Sacks,Defensive Line Coach/Special Teams Coordinator,White
Nevada,2003,Cameron Norcross,cameron-norcross,Cameron Norcross,Tight Ends Coach/Offensive Line Coach,White
Nevada,2003,Chris Tormey,chris-tormey,Chris Tormey,Head Coach,White
Nevada,2003,D.J. McCarthy,dj-mccarthy,D.J. McCarthy,Wide Receivers Coach,#N/A
Nevada,2003,Dave Stromswold,dave-stromswold,Dave Stromswold,Offensive Line Coach,#N/A
Nevada,2003,Denny Schuler,denny-schuler,Denny Schuler,Safeties Coach/Rovers Coach,#N/A
Nevada,2003,Jeff Mills,jeff-mills,Jeff Mills,Defensive Coordinator/Linebackers Coach,White
Nevada,2003,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach/Assistant Head Coach,White
Nevada,2003,Kim McCloud,kim-mccloud,Kim McCloud,Cornerbacks Coach,Black
Nevada,2003,Phil Earley,phil-earley,Phil Earley,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2004,Barry Sacks,barry-sacks,Barry Sacks,Defensive Coordinator/Cornerbacks Coach,White
Nevada,2004,Cameron Norcross,cameron-norcross,Cameron Norcross,Tight Ends Coach/Offensive Line Coach,White
Nevada,2004,Chris Ault,chris-ault,Chris Ault,Head Coach,White
Nevada,2004,Chris Klenakis,chris-klenakis,Chris Klenakis,Offensive Coordinator/Offensive Line Coach,White
Nevada,2004,Dave Fipp,dave-fipp,Dave Fipp,Defensive Coordinator/Safeties Coach,White
Nevada,2004,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach,White
Nevada,2004,Ken Wilson,ken-wilson,Ken Wilson,Linebackers Coach/Assistant Head Coach,White
Nevada,2004,Kim McCloud,kim-mccloud,Kim McCloud,Defensive Backs Coach,Black
Nevada,2004,Marty Long,marty-long,Marty Long,Defensive Line Coach,#N/A
Nevada,2004,Scott Baumgartner,scott-baumgartner,Scott Baumgartner,Quarterbacks Coach/Special Teams Coordinator,White
Nevada,2005,Barry Sacks,barry-sacks,Barry Sacks,Defensive Coordinator/Defensive Ends Coach,White
Nevada,2005,Cameron Norcross,cameron-norcross,Cameron Norcross,Tight Ends Coach/Offensive Line Coach,White
Nevada,2005,Chris Ault,chris-ault,Chris Ault,Head Coach,White
Nevada,2005,Chris Klenakis,chris-klenakis,Chris Klenakis,Offensive Coordinator/Offensive Line Coach,White
Nevada,2005,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach/Recruiting Coordinator,White
Nevada,2005,Ken Wilson,ken-wilson,Ken Wilson,Linebackers Coach/Assistant Head Coach,White
Nevada,2005,Kim McCloud,kim-mccloud,Kim McCloud,Wide Receivers Coach,Black
Nevada,2005,Marty Long,marty-long,Marty Long,Defensive Tackles Coach,#N/A
Nevada,2005,Scott Baumgartner,scott-baumgartner,Scott Baumgartner,Quarterbacks Coach/Special Teams Coordinator,White
Nevada,2005,Tim DeRuyter,tim-deruyter,Tim DeRuyter,Defensive Coordinator/Safeties Coach,White
Nevada,2006,Barry Sacks,barry-sacks,Barry Sacks,Defensive Coordinator/Outside Linebackers Coach,White
Nevada,2006,Cameron Norcross,cameron-norcross,Cameron Norcross,Tight Ends Coach/Offensive Line Coach,White
Nevada,2006,Chris Ault,chris-ault,Chris Ault,Head Coach,White
Nevada,2006,Chris Klenakis,chris-klenakis,Chris Klenakis,Offensive Coordinator/Offensive Line Coach,White
Nevada,2006,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach,White
Nevada,2006,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach/Recruiting Coordinator,White
Nevada,2006,Ken Wilson,ken-wilson,Ken Wilson,Linebackers Coach/Assistant Head Coach,White
Nevada,2006,Kim McCloud,kim-mccloud,Kim McCloud,Cornerbacks Coach,Black
Nevada,2006,Marty Long,marty-long,Marty Long,Defensive Line Coach,#N/A
Nevada,2006,Tim DeRuyter,tim-deruyter,Tim DeRuyter,Defensive Coordinator/Safeties Coach,White
Nevada,2007,Barry Sacks,barry-sacks,Barry Sacks,Outside Linebackers Coach/Special Teams Coordinator,White
Nevada,2007,Cameron Norcross,cameron-norcross,Cameron Norcross,Tight Ends Coach/Offensive Line Coach,White
Nevada,2007,Charlie Camp,charlie-camp,Charlie Camp,Inside Linebackers Coach,#N/A
Nevada,2007,Chris Ault,chris-ault,Chris Ault,Head Coach,White
Nevada,2007,Chris Klenakis,chris-klenakis,Chris Klenakis,Offensive Coordinator/Offensive Line Coach,White
Nevada,2007,Jim House,jim-house,Jim House,Defensive Line Coach,#N/A
Nevada,2007,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach,White
Nevada,2007,Ken Wilson,ken-wilson,Ken Wilson,Defensive Coordinator/Safeties Coach,White
Nevada,2007,Kim McCloud,kim-mccloud,Kim McCloud,Cornerbacks Coach,Black
Nevada,2007,Scott Baumgartner,scott-baumgartner,Scott Baumgartner,Wide Receivers Coach,White
Nevada,2008,Barry Sacks,barry-sacks,Barry Sacks,Outside Linebackers Coach/Special Teams Coordinator,White
Nevada,2008,Cameron Norcross,cameron-norcross,Cameron Norcross,Tight Ends Coach/Offensive Line Coach,White
Nevada,2008,Chris Ault,chris-ault,Chris Ault,Head Coach,White
Nevada,2008,Chris Klenakis,chris-klenakis,Chris Klenakis,Offensive Coordinator/Offensive Line Coach,White
Nevada,2008,James Ward,james-ward,James Ward,Cornerbacks Coach,#N/A
Nevada,2008,Jim House,jim-house,Jim House,Defensive Line Coach,#N/A
Nevada,2008,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach,White
Nevada,2008,Ken Wilson,ken-wilson,Ken Wilson,Linebackers Coach/Associate Head Coach,White
Nevada,2008,Nigel Burton,nigel-burton,Nigel Burton,Defensive Coordinator/Safeties Coach,Black
Nevada,2008,Scott Baumgartner,scott-baumgartner,Scott Baumgartner,Wide Receivers Coach,White
Nevada,2009,Barry Sacks,barry-sacks,Barry Sacks,Defensive Ends Coach/Special Teams Coordinator,White
Nevada,2009,Cameron Norcross,cameron-norcross,Cameron Norcross,Tight Ends Coach/Offensive Line Coach,White
Nevada,2009,Chris Ault,chris-ault,Chris Ault,Head Coach,White
Nevada,2009,Chris Klenakis,chris-klenakis,Chris Klenakis,Offensive Coordinator/Offensive Line Coach,White
Nevada,2009,James Ward,james-ward,James Ward,Cornerbacks Coach,#N/A
Nevada,2009,Jim House,jim-house,Jim House,Defensive Tackles Coach,#N/A
Nevada,2009,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach,White
Nevada,2009,Ken Wilson,ken-wilson,Ken Wilson,Linebackers Coach/Associate Head Coach,White
Nevada,2009,Nigel Burton,nigel-burton,Nigel Burton,Defensive Coordinator/Safeties Coach,Black
Nevada,2009,Scott Baumgartner,scott-baumgartner,Scott Baumgartner,Wide Receivers Coach,White
Nevada,2010,Andy Buh,andy-buh,Andy Buh,Defensive Coordinator/Linebackers Coach,White
Nevada,2010,Barry Sacks,barry-sacks,Barry Sacks,Defensive Tackles Coach,White
Nevada,2010,Cameron Norcross,cameron-norcross,Cameron Norcross,Offensive Line Coach/Run Game Coordinator,White
Nevada,2010,Chris Ault,chris-ault,Chris Ault,Head Coach,White
Nevada,2010,James Spady,james-spady,James Spady,Tight Ends Coach/Assistant Offensive Line Coach,#N/A
Nevada,2010,James Ward,james-ward,James Ward,Cornerbacks Coach,#N/A
Nevada,2010,Jim Mastro,jim-mastro,Jim Mastro,Running Backs Coach/Recruiting Coordinator,White
Nevada,2010,Ken Wilson,ken-wilson,Ken Wilson,Defensive Ends Coach/Associate Head Coach,White
Nevada,2010,Mike Bradeson,mike-bradeson,Mike Bradeson,Safeties Coach,White
Nevada,2010,Scott Baumgartner,scott-baumgartner,Scott Baumgartner,Wide Receivers Coach,White
Nevada,2011,Andy Buh,andy-buh,Andy Buh,Defensive Coordinator/Linebackers Coach,White
Nevada,2011,Barry Sacks,barry-sacks,Barry Sacks,Defensive Tackles Coach,White
Nevada,2011,Cameron Norcross,cameron-norcross,Cameron Norcross,Offensive Line Coach/Run Game Coordinator,White
Nevada,2011,Casey Moore,casey-moore,Casey Moore,Running Backs Coach,#N/A
Nevada,2011,Chris Ault,chris-ault,Chris Ault,Head Coach,White
Nevada,2011,James Spady,james-spady,James Spady,Tight Ends Coach/Assistant Offensive Line Coach,#N/A
Nevada,2011,James Ward,james-ward,James Ward,Cornerbacks Coach,#N/A
Nevada,2011,Ken Wilson,ken-wilson,Ken Wilson,Defensive Ends Coach/Associate Head Coach,White
Nevada,2011,Mike Bradeson,mike-bradeson,Mike Bradeson,Safeties Coach,White
Nevada,2011,Scott Baumgartner,scott-baumgartner,Scott Baumgartner,Wide Receivers Coach,White
Nevada,2012,Barry Sacks,barry-sacks,Barry Sacks,Defensive Tackles Coach,White
Nevada,2012,Chris Ault,chris-ault,Chris Ault,Head Coach,White
Nevada,2012,Darren Hiller,darren-hiller,Darren Hiller,Offensive Line Coach,White
Nevada,2012,James Spady,james-spady,James Spady,Tight Ends Coach/Assistant Offensive Line Coach,#N/A
Nevada,2012,James Ward,james-ward,James Ward,Cornerbacks Coach,#N/A
Nevada,2012,Ken Wilson,ken-wilson,Ken Wilson,Edge Coach/Associate Head Coach,White
Nevada,2012,Larry Lewis,larry-lewis,Larry Lewis,Running Backs Coach/Special Teams Coordinator,White
Nevada,2012,Mike Bradeson,mike-bradeson,Mike Bradeson,Defensive Coordinator/Safeties Coach,White
Nevada,2012,Nick Rolovich,nick-rolovich,Nick Rolovich,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2012,Scott Baumgartner,scott-baumgartner,Scott Baumgartner,Wide Receivers Coach,White
Nevada,2013,Bill Teerlinck,bill-teerlinck,Bill Teerlinck,Defensive Coordinator/Defensive Line Coach,White
Nevada,2013,Brian Polian,brian-polian,Brian Polian,Head Coach,White
Nevada,2013,James Spady,james-spady,James Spady,Tight Ends Coach,#N/A
Nevada,2013,Jim Hofher,jim-hofher,Jim Hofher,Wide Receivers Coach,White
Nevada,2013,Lester Erb,lester-erb,Lester Erb,Running Backs Coach/Special Teams Coordinator,White
Nevada,2013,Mike Bradeson,mike-bradeson,Mike Bradeson,Safeties Coach,White
Nevada,2013,Nick Rolovich,nick-rolovich,Nick Rolovich,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2013,Ricky Thomas,ricky-thomas,Ricky Thomas,Cornerbacks Coach,#N/A
Nevada,2013,Ron Hudson,ron-hudson-1,Ron Hudson,Offensive Line Coach,White
Nevada,2013,Scottie Hazelton,scottie-hazelton,Scottie Hazelton,Defensive Coordinator/Linebackers Coach,White
Nevada,2014,Bill Teerlinck,bill-teerlinck,Bill Teerlinck,Defensive Coordinator/Defensive Line Coach,White
Nevada,2014,Brian Polian,brian-polian,Brian Polian,Head Coach,White
Nevada,2014,Cheston Blackshear,cheston-blackshear,Cheston Blackshear,Tight Ends Coach,#N/A
Nevada,2014,Jim Hofher,jim-hofher,Jim Hofher,Wide Receivers Coach,White
Nevada,2014,Lester Erb,lester-erb,Lester Erb,Running Backs Coach/Special Teams Coordinator,White
Nevada,2014,Mike Bradeson,mike-bradeson,Mike Bradeson,Safeties Coach,White
Nevada,2014,Nick Rolovich,nick-rolovich,Nick Rolovich,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2014,Ricky Thomas,ricky-thomas,Ricky Thomas,Cornerbacks Coach,#N/A
Nevada,2014,Ron Hudson,ron-hudson-1,Ron Hudson,Offensive Line Coach,White
Nevada,2014,Scott Boone,scott-boone,Scott Boone,Defensive Coordinator/Linebackers Coach,White
Nevada,2015,Bill Teerlinck,bill-teerlinck,Bill Teerlinck,Defensive Coordinator/Defensive Line Coach,White
Nevada,2015,Brian Polian,brian-polian,Brian Polian,Head Coach,White
Nevada,2015,Cheston Blackshear,cheston-blackshear,Cheston Blackshear,Tight Ends Coach,#N/A
Nevada,2015,Jim Hofher,jim-hofher,Jim Hofher,Wide Receivers Coach,White
Nevada,2015,Lester Erb,lester-erb,Lester Erb,Running Backs Coach/Special Teams Coordinator,White
Nevada,2015,Mike Bradeson,mike-bradeson,Mike Bradeson,Safeties Coach,White
Nevada,2015,Nick Rolovich,nick-rolovich,Nick Rolovich,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2015,Ricky Thomas,ricky-thomas,Ricky Thomas,Cornerbacks Coach,#N/A
Nevada,2015,Ron Hudson,ron-hudson-1,Ron Hudson,Offensive Line Coach,White
Nevada,2015,Scott Boone,scott-boone,Scott Boone,Defensive Coordinator/Linebackers Coach,White
Nevada,2016,Bill Teerlinck,bill-teerlinck,Bill Teerlinck,Defensive Coordinator/Defensive Line Coach,White
Nevada,2016,Brian Polian,brian-polian,Brian Polian,Head Coach,White
Nevada,2016,Cheston Blackshear,cheston-blackshear,Cheston Blackshear,Tight Ends Coach,#N/A
Nevada,2016,Jonathan Himebauch,jonathan-himebauch,Jonathan Himebauch,Offensive Line Coach,#N/A
Nevada,2016,Lester Erb,lester-erb,Lester Erb,Wide Receivers Coach,White
Nevada,2016,Marc Nudelberg,marc-nudelberg,Marc Nudelberg,Running Backs Coach/Special Teams Coordinator,?
Nevada,2016,Mike Bradeson,mike-bradeson,Mike Bradeson,Safeties Coach,White
Nevada,2016,Ricky Thomas,ricky-thomas,Ricky Thomas,Cornerbacks Coach,#N/A
Nevada,2016,Scott Boone,scott-boone,Scott Boone,Defensive Coordinator/Linebackers Coach,White
Nevada,2016,Tim Cramsey,tim-cramsey,Tim Cramsey,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2017,Courtney Viney,courtney-viney,Courtney Viney,Cornerbacks Coach,#N/A
Nevada,2017,David White,david-white,David White,Running Backs Coach,#N/A
Nevada,2017,Eric Scott,eric-scott,Eric Scott,Outside Receivers Coach,Black
Nevada,2017,Jason Kaufusi,jason-kaufusi,Jason Kaufusi,Defensive Line Coach,#N/A
Nevada,2017,Jay Norvell,jay-norvell,Jay Norvell,Head Coach,Black
Nevada,2017,Jeff Casteel,jeff-casteel,Jeff Casteel,Defensive Coordinator/Linebackers Coach,White
Nevada,2017,Mason Miller,mason-miller,Mason Miller,Offensive Line Coach,#N/A
Nevada,2017,Matt Kirk,matt-kirk,Matt Kirk,Safeties Coach,#N/A
Nevada,2017,Matt Mumme,matt-mumme,Matt Mumme,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2017,Timmy Chang,timmy-chang,Timmy Chang,Inside Receivers Coach,#N/A
Nevada,2018,Angus McClure,angus-mcclure,Angus McClure,Offensive Line Coach,White
Nevada,2018,David Lockwood,david-lockwood,David Lockwood,Defensive Backs Coach,Black
Nevada,2018,David White,david-white,David White,Running Backs Coach,#N/A
Nevada,2018,Eric Scott,eric-scott,Eric Scott,Outside Receivers Coach,Black
Nevada,2018,Jason Kaufusi,jason-kaufusi,Jason Kaufusi,Defensive Line Coach,#N/A
Nevada,2018,Jay Norvell,jay-norvell,Jay Norvell,Head Coach,Black
Nevada,2018,Jeff Casteel,jeff-casteel,Jeff Casteel,Defensive Coordinator/Linebackers Coach,White
Nevada,2018,Matt Mumme,matt-mumme,Matt Mumme,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2018,Mike Chamoures,mike-chamoures,Mike Chamoures,Safeties Coach,#N/A
Nevada,2018,Timmy Chang,timmy-chang,Timmy Chang,Inside Receivers Coach,#N/A
Nevada,2018,Tommy Perry,tommy-perry,Tommy Perry,Special Teams Coordinator,White
Nevada,2019,Angus McClure,angus-mcclure,Angus McClure,Offensive Line Coach/Assistant Head Coach,White
Nevada,2019,David Lockwood,david-lockwood,David Lockwood,Defensive Backs Coach,Black
Nevada,2019,Eric Scott,eric-scott,Eric Scott,Wide Receivers Coach,Black
Nevada,2019,Jackie Shipp,jackie-shipp,Jackie Shipp,Defensive Line Coach,#N/A
Nevada,2019,Jay Norvell,jay-norvell,Jay Norvell,Head Coach,Black
Nevada,2019,Jeff Casteel,jeff-casteel,Jeff Casteel,Defensive Coordinator/Linebackers Coach,White
Nevada,2019,Matt Mumme,matt-mumme,Matt Mumme,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2019,Mike Chamoures,mike-chamoures,Mike Chamoures,Safeties Coach,#N/A
Nevada,2019,Timmy Chang,timmy-chang,Timmy Chang,Tight Ends Coach,#N/A
Nevada,2019,Tommy Perry,tommy-perry,Tommy Perry,Special Teams Coordinator,White
Nevada,2019,Vai Taua,vai-taua,Vai Taua,Running Backs Coach,#N/A
Nevada,2020,Bill Best,bill-best,Bill Best,Offensive Line Coach,#N/A
Nevada,2020,Brian Ward,brian-ward,Brian Ward,Defensive Coordinator/Linebackers Coach,White
Nevada,2020,Eric Scott,eric-scott,Eric Scott,Wide Receivers Coach,Black
Nevada,2020,Freddie Banks,freddie-banks,Freddie Banks,Cornerbacks Coach,#N/A
Nevada,2020,Jackie Shipp,jackie-shipp,Jackie Shipp,Defensive Line Coach,#N/A
Nevada,2020,Jay Norvell,jay-norvell,Jay Norvell,Head Coach,Black
Nevada,2020,Matt Mumme,matt-mumme,Matt Mumme,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2020,Ronnie Wheat,ronnie-wheat,Ronnie Wheat,Safeties Coach,#N/A
Nevada,2020,Thomas Sheffield,thomas-sheffield,Thomas Sheffield,Special Teams Coordinator,White
Nevada,2020,Timmy Chang,timmy-chang,Timmy Chang,Tight Ends Coach,#N/A
Nevada,2020,Vai Taua,vai-taua,Vai Taua,Running Backs Coach,#N/A
Nevada,2021,Bill Best,bill-best,Bill Best,Offensive Line Coach,#N/A
Nevada,2021,Brian Ward,brian-ward,Brian Ward,Defensive Coordinator/Defensive Tackles Coach,White
Nevada,2021,Chad Savage,chad-savage,Chad Savage,Tight Ends Coach,#N/A
Nevada,2021,Jackie Shipp,jackie-shipp,Jackie Shipp,Defensive Ends Coach,#N/A
Nevada,2021,Jay Norvell,jay-norvell,Jay Norvell,Head Coach,Black
Nevada,2021,Matt Mumme,matt-mumme,Matt Mumme,Offensive Coordinator/Quarterbacks Coach,White
Nevada,2021,Riccardo Stewart,riccardo-stewart,Riccardo Stewart,Defensive Backs Coach,#N/A
Nevada,2021,Ronnie Wheat,ronnie-wheat,Ronnie Wheat,Linebackers Coach,#N/A
Nevada,2021,Thomas Sheffield,thomas-sheffield,Thomas Sheffield,Special Teams Coordinator,White
Nevada,2021,Timmy Chang,timmy-chang,Timmy Chang,Wide Receivers Coach,#N/A
Nevada,2021,Vai Taua,vai-taua,Vai Taua,Running Backs Coach,#N/A
New Mexico,2000,Blake Anderson,blake-anderson,Blake Anderson,Running Backs Coach,White
New Mexico,2000,Bob Bostad,bob-bostad,Bob Bostad,Offensive Line Coach,#N/A
New Mexico,2000,Bronco Mendenhall,bronco-mendenhall,Bronco Mendenhall,Defensive Coordinator/Defensive Backs Coach,White
New Mexico,2000,Curtis Modkins,curtis-modkins,Curtis Modkins,Cornerbacks Coach,#N/A
New Mexico,2000,Dan Dodd,dan-dodd,Dan Dodd,Offensive Coordinator/Quarterbacks Coach,White
New Mexico,2000,Gerald Bradley,gerald-bradley,Gerald Bradley,Wide Receivers Coach,#N/A
New Mexico,2000,Grady Stretz,grady-stretz,Grady Stretz,Defensive Line Coach,White
New Mexico,2000,Jeff Conway,jeff-conway,Jeff Conway,Tight Ends Coach/Special Teams Coordinator,White
New Mexico,2000,Lenny Rodriguez,lenny-rodriguez,Lenny Rodriguez,Linebackers Coach,#N/A
New Mexico,2000,Rocky Long,rocky-long,Rocky Long,Head Coach,White
New Mexico,2001,Blake Anderson,blake-anderson,Blake Anderson,Wide Receivers Coach,White
New Mexico,2001,Bob Bostad,bob-bostad,Bob Bostad,Offensive Line Coach,#N/A
New Mexico,2001,Bronco Mendenhall,bronco-mendenhall,Bronco Mendenhall,Defensive Coordinator/Defensive Backs Coach,White
New Mexico,2001,Curtis Modkins,curtis-modkins,Curtis Modkins,Cornerbacks Coach,#N/A
New Mexico,2001,Dan Dodd,dan-dodd,Dan Dodd,Offensive Coordinator/Quarterbacks Coach,White
New Mexico,2001,Grady Stretz,grady-stretz,Grady Stretz,Defensive Line Coach,White
New Mexico,2001,Jeff Conway,jeff-conway,Jeff Conway,Running Backs Coach,White
New Mexico,2001,Lenny Rodriguez,lenny-rodriguez,Lenny Rodriguez,Linebackers Coach,#N/A
New Mexico,2001,Ned James,ned-james,Ned James,Tight Ends Coach,#N/A
New Mexico,2001,Rocky Long,rocky-long,Rocky Long,Head Coach,White
New Mexico,2002,Bob Bostad,bob-bostad,Bob Bostad,Offensive Line Coach,#N/A
New Mexico,2002,Bronco Mendenhall,bronco-mendenhall,Bronco Mendenhall,Defensive Coordinator/Defensive Backs Coach/Associate Head Coach,White
New Mexico,2002,Curtis Luper,curtis-luper,Curtis Luper,Running Backs Coach,Black
New Mexico,2002,Dan Dodd,dan-dodd,Dan Dodd,Offensive Coordinator/Quarterbacks Coach,White
New Mexico,2002,Everett Todd,everett-todd,Everett Todd,Cornerbacks Coach,Black
New Mexico,2002,Grady Stretz,grady-stretz,Grady Stretz,Defensive Line Coach,White
New Mexico,2002,Jason Strauss,jason-strauss,Jason Strauss,Tight Ends Coach,#N/A
New Mexico,2002,Jeff Conway,jeff-conway,Jeff Conway,Wide Receivers Coach/Special Teams Coordinator,White
New Mexico,2002,Lenny Rodriguez,lenny-rodriguez,Lenny Rodriguez,Linebackers Coach,#N/A
New Mexico,2002,Rocky Long,rocky-long,Rocky Long,Head Coach,White
New Mexico,2003,Bob Bostad,bob-bostad,Bob Bostad,Offensive Line Coach,#N/A
New Mexico,2003,Curtis Luper,curtis-luper,Curtis Luper,Running Backs Coach,Black
New Mexico,2003,Dan Dodd,dan-dodd,Dan Dodd,Offensive Coordinator/Quarterbacks Coach,White
New Mexico,2003,Everett Todd,everett-todd,Everett Todd,Cornerbacks Coach,Black
New Mexico,2003,Grady Stretz,grady-stretz,Grady Stretz,Safeties Coach,White
New Mexico,2003,Jason Strauss,jason-strauss,Jason Strauss,Tight Ends Coach,#N/A
New Mexico,2003,Jeff Conway,jeff-conway,Jeff Conway,Wide Receivers Coach/Special Teams Coordinator,White
New Mexico,2003,Lenny Rodriguez,lenny-rodriguez,Lenny Rodriguez,Linebackers Coach,#N/A
New Mexico,2003,Osia Lewis,osia-lewis,Osia Lewis,Defensive Coordinator/Defensive Line Coach,Black
New Mexico,2003,Rocky Long,rocky-long,Rocky Long,Head Coach,White
New Mexico,2004,Bob Bostad,bob-bostad,Bob Bostad,Offensive Line Coach,#N/A
New Mexico,2004,Curtis Luper,curtis-luper,Curtis Luper,Running Backs Coach,Black
New Mexico,2004,Dan Dodd,dan-dodd,Dan Dodd,Offensive Coordinator/Quarterbacks Coach,White
New Mexico,2004,Everett Todd,everett-todd,Everett Todd,Special Teams Coordinator/Recruiting Coordinator,Black
New Mexico,2004,Grady Stretz,grady-stretz,Grady Stretz,Safeties Coach/Special Teams Coordinator,White
New Mexico,2004,Jason Strauss,jason-strauss,Jason Strauss,Wide Receivers Coach/Tight Ends Coach,#N/A
New Mexico,2004,Lenny Rodriguez,lenny-rodriguez,Lenny Rodriguez,Linebackers Coach,#N/A
New Mexico,2004,Osia Lewis,osia-lewis,Osia Lewis,Defensive Coordinator/Defensive Line Coach,Black
New Mexico,2004,Rocky Long,rocky-long,Rocky Long,Head Coach,White
New Mexico,2004,Troy Reffett,troy-reffett,Troy Reffett,Cornerbacks Coach,White
