College,Season,Coach,username,Coach,Role,Race
Air Force,2008,Matt Weikert,matt-weikert,Matt Weikert,Outside Linebackers Coach,#N/A
Air Force,2008,Mike Thiessen,mike-thiessen,Mike Thiessen,Wide Receivers Coach,White
Air Force,2008,Ron Burton,ron-burton,Ron Burton,Defensive Line Coach,#N/A
Air Force,2008,Tim DeRuyter,tim-deruyter,Tim DeRuyter,Defensive Coordinator/Safeties Coach/Associate Head Coach,White
Air Force,2008,Tim DeRuyter,tim-deruyter,Tim DeRuyter,Defensive Coordinator,White
Air Force,2008,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2009,Ben Miller,ben-miller,Ben Miller,Tight Ends Coach/Special Teams Coordinator,White
Air Force,2009,Blane Morgan,blane-morgan,Blane Morgan,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2009,Charlton Warren,charlton-warren,Charlton Warren,Defensive Coordinator/Defensive Backs Coach/Recruiting Coordinator,Black
Air Force,2009,Clay Hendrix,clay-hendrix,Clay Hendrix,Offensive Coordinator/Offensive Line Coach,White
Air Force,2009,Jemal Singleton,jemal-singleton,Jemal Singleton,Running Backs Coach/Run Game Coordinator,Other
Air Force,2009,Matt Wallerstedt,matt-wallerstedt,Matt Wallerstedt,Defensive Coordinator/Inside Linebackers Coach/Assistant Head Coach,White
Air Force,2009,Matt Weikert,matt-weikert,Matt Weikert,Outside Linebackers Coach,#N/A
Air Force,2009,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Wide Receivers Coach,White
Air Force,2009,Ron Burton,ron-burton,Ron Burton,Defensive Line Coach,#N/A
Air Force,2009,Tim DeRuyter,tim-deruyter,Tim DeRuyter,Defensive Coordinator/Safeties Coach/Associate Head Coach,White
Air Force,2009,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2010,Ben Miller,ben-miller,Ben Miller,Tight Ends Coach/Special Teams Coordinator,White
Air Force,2010,Blane Morgan,blane-morgan,Blane Morgan,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2010,Brad White,brad-white,Brad White,Linebackers Coach,White
Air Force,2010,Charlton Warren,charlton-warren,Charlton Warren,Defensive Coordinator/Defensive Backs Coach/Assistant Head Coach/Recruiting Coordinator,Black
Air Force,2010,Clay Hendrix,clay-hendrix,Clay Hendrix,Offensive Coordinator/Offensive Line Coach/Associate Head Coach,White
Air Force,2010,Jemal Singleton,jemal-singleton,Jemal Singleton,Running Backs Coach/Run Game Coordinator,Other
Air Force,2010,Matt Wallerstedt,matt-wallerstedt,Matt Wallerstedt,Defensive Coordinator/Inside Linebackers Coach/Associate Head Coach,White
Air Force,2010,Matt Weikert,matt-weikert,Matt Weikert,Outside Linebackers Coach,#N/A
Air Force,2010,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Wide Receivers Coach,White
Air Force,2010,Ron Burton,ron-burton,Ron Burton,Defensive Line Coach,#N/A
Air Force,2010,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2011,Ben Miller,ben-miller,Ben Miller,Tight Ends Coach/Special Teams Coordinator,White
Air Force,2011,Blane Morgan,blane-morgan,Blane Morgan,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2011,Brad White,brad-white,Brad White,Linebackers Coach,White
Air Force,2011,Charlton Warren,charlton-warren,Charlton Warren,Defensive Coordinator/Defensive Backs Coach/Assistant Head Coach/Recruiting Coordinator,Black
Air Force,2011,Clay Hendrix,clay-hendrix,Clay Hendrix,Offensive Coordinator/Offensive Line Coach/Associate Head Coach,White
Air Force,2011,Des Kitchings,des-kitchings,Des Kitchings,Running Backs Coach/Run Game Coordinator,Black
Air Force,2011,Matt Wallerstedt,matt-wallerstedt,Matt Wallerstedt,Defensive Coordinator/Inside Linebackers Coach/Associate Head Coach,White
Air Force,2011,Matt Weikert,matt-weikert,Matt Weikert,Outside Linebackers Coach,#N/A
Air Force,2011,Mike Thiessen,mike-thiessen,Mike Thiessen,Offensive Coordinator/Wide Receivers Coach/Assistant Head Coach,White
Air Force,2011,Ron Burton,ron-burton,Ron Burton,Defensive Line Coach,#N/A
Air Force,2011,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2012,Ben Miller,ben-miller,Ben Miller,Running Backs Coach/Special Teams Coordinator,White
Air Force,2012,Blane Morgan,blane-morgan,Blane Morgan,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2012,Charlton Warren,charlton-warren,Charlton Warren,Defensive Coordinator/Defensive Backs Coach/Associate Head Coach,Black
Air Force,2012,Clay Hendrix,clay-hendrix,Clay Hendrix,Offensive Coordinator/Offensive Line Coach/Associate Head Coach,White
