"","College","Season","Coach","username","Coach.1","Role","Race"
"102","Arizona",2013,"Calvin Magee","calvin-magee","Calvin Magee","Offensive Coordinator/Running Backs Coach","Black"
"103","Arizona",2013,"Rod Smith","rod-smith","Rod Smith","Offensive Coordinator/Quarterbacks Coach","White"
"104","Arizona",2014,"Calvin Magee","calvin-magee","Calvin Magee","Offensive Coordinator/Running Backs Coach","Black"
"105","Arizona",2014,"Rod Smith","rod-smith","Rod Smith","Offensive Coordinator/Quarterbacks Coach","White"
"106","Arizona",2015,"Calvin Magee","calvin-magee","Calvin Magee","Offensive Coordinator/Running Backs Coach","Black"
"107","Arizona",2015,"Rod Smith","rod-smith","Rod Smith","Offensive Coordinator/Quarterbacks Coach","White"
"108","Arizona",2016,"Calvin Magee","calvin-magee","Calvin Magee","Offensive Coordinator/Running Backs Coach","Black"
"109","Arizona",2016,"Rod Smith","rod-smith","Rod Smith","Offensive Coordinator/Quarterbacks Coach","White"
"110","Arizona",2017,"Calvin Magee","calvin-magee","Calvin Magee","Offensive Coordinator/Running Backs Coach/Tight Ends Coach","Black"
"111","Arizona",2017,"Rod Smith","rod-smith","Rod Smith","Offensive Coordinator/Quarterbacks Coach","White"
"112","Arizona",2018,"Noel Mazzone","noel-mazzone","Noel Mazzone","Offensive Coordinator/Quarterbacks Coach","White"
"113","Arizona",2019,"Noel Mazzone","noel-mazzone","Noel Mazzone","Offensive Coordinator/Quarterbacks Coach","White"
"114","Arizona",2020,"Noel Mazzone","noel-mazzone","Noel Mazzone","Offensive Coordinator/Quarterbacks Coach","White"
"115","Arizona",2021,"Brennan Carroll","brennan-carroll","Brennan Carroll","Offensive Coordinator/Offensive Line Coach","White"
"116","Arizona State",2000,"John Pettas","john-pettas","John Pettas","Offensive Coordinator/Quarterbacks Coach","White"
"117","Arizona State",2006,"Roy Wittke","roy-wittke","Roy Wittke","Offensive Coordinator/Quarterbacks Coach","White"
"118","Arizona State",2007,"Rich Olson","rich-olson","Rich Olson","Offensive Coordinator/Quarterbacks Coach","White"
"119","Arizona State",2008,"Rich Olson","rich-olson","Rich Olson","Offensive Coordinator/Quarterbacks Coach","White"
"120","Arizona State",2009,"Rich Olson","rich-olson","Rich Olson","Offensive Coordinator/Quarterbacks Coach","White"
"121","Arizona State",2010,"Noel Mazzone","noel-mazzone","Noel Mazzone","Offensive Coordinator/Quarterbacks Coach","White"
"122","Arizona State",2011,"Noel Mazzone","noel-mazzone","Noel Mazzone","Offensive Coordinator/Quarterbacks Coach","White"
"123","Arizona State",2012,"Mike Norvell","mike-norvell","Mike Norvell","Offensive Coordinator/Quarterbacks Coach","White"
"124","Arizona State",2013,"Mike Norvell","mike-norvell","Mike Norvell","Offensive Coordinator/Quarterbacks Coach","White"
"125","Arizona State",2014,"Mike Norvell","mike-norvell","Mike Norvell","Offensive Coordinator/Quarterbacks Coach","White"
"126","Arizona State",2015,"Mike Norvell","mike-norvell","Mike Norvell","Offensive Coordinator/Quarterbacks Coach","White"
"127","Arizona State",2016,"Chip Lindsey","chip-lindsey","Chip Lindsey","Offensive Coordinator/Quarterbacks Coach","White"
"128","Arizona State",2017,"Billy Napier","billy-napier","Billy Napier","Offensive Coordinator/Quarterbacks Coach","White"
"129","Arizona State",2017,"Rob Likens","rob-likens","Rob Likens","Offensive Coordinator/Wide Receivers Coach","White"
"130","Arizona State",2018,"Rob Likens","rob-likens","Rob Likens","Offensive Coordinator/Quarterbacks Coach","White"
"131","Arizona State",2019,"Rob Likens","rob-likens","Rob Likens","Offensive Coordinator/Quarterbacks Coach","White"
"132","Arizona State",2020,"Zak Hill","zak-hill","Zak Hill","Offensive Coordinator/Quarterbacks Coach","White"
"133","Arizona State",2021,"Zak Hill","zak-hill","Zak Hill","Offensive Coordinator/Quarterbacks Coach","White"
