"","Coach","Race"
"321","Kane Wommack","White"
"322","Lou Holtz","White"
"323","Shane Beamer","White"
"324","Jeff Scott","White"
"325","Jeff Bower","White"
"326","Ellis Johnson","White"
"327","Todd Monken","White"
"328","Jay Hopson","White"
"329","Will Hall","White"
"330","Buddy Teevens","White"
"331","David Shaw","Black"
"332","Paul Pasqualoni","White"
"333","Greg Robinson","White"
"334","Doug Marrone","White"
"335","Scott Shafer","White"
"336","Gary Patterson","White"
"337","Bobby Wallace","White"
"338","Phillip Fulmer","White"
"339","Jeremy Pruitt","White"
"340","Josh Heupel","White"
"341","Steve Sarkisian","White"
"342","R.C. Slocum","White"
"343","Mike Sherman","White"
"344","Jake Spavital","White"
"345","Kliff Kingsbury","White"
"346","Matt Wells","White"
"347","Tom Amstutz","White"
"348","Jason Candle","White"
"349","Larry Blakeney","White"
"350","Neal Brown","White"
"351","Chip Lindsey","White"
"352","Chris Scelfo","White"
"353","Bob Toledo","White"
"354","Curtis Johnson","Black"
"355","Keith Burns","White"
"356","Bill Blankenship","White"
"357","Philip Montgomery","White"
"358","Watson Brown","White"
"359","Neil Callaway","White"
"360","Garrick McGee","Black"
"361","Bill Clark","White"
"362","Mike Kruczek","White"
"363","Rick Neuheisel","White"
"364","Jim L. Mora","White"
"365","Bob Diaco","White"
"366","John Robinson","White"
"367","Mike Sanford Sr.","White"
"368","Bobby Hauck","White"
"369","Tony Sanchez","Other"
"370","Marcus Arroyo","White"
"371","Paul Hackett","White"
"372","Pete Carroll","White"
"373","Clay Helton","White"
"374","Jim Leavitt","White"
"375","Ron McBride","White"
"376","Kyle Whittingham","White"
"377","Mick Dennehy","White"
"378","Brent Guy","White"
"379","Gary Nord","White"
"380","Mike Price","White"
"381","Sean Kugler","White"
"382","Frank Wilson","Black"
"383","Jeff Traylor","White"
"384","Woody Widenhofer","White"
"385","Bobby Johnson","White"
"386","Robbie Caldwell","White"
"387","Derek Mason","Black"
"388","Clark Lea","White"
"389","George Welsh","White"
"390","Al Groh","White"
