"","Coach","team","Race","net_ppa","net_sr","net_stuff","net_pass_sr"
"mean_ppa315","Ikaika Malloe","Washington","Other",-0.119127029492931,-0.0549933984303699,0.0507461766262145,0.0041985959075258
"mean_ppa316","Ilaisa Tuiaki","BYU","Black",-0.0675352455722385,-0.0422033555578984,0.0501261300952855,-0.0482571792822013
"mean_ppa317","J.C. Price","Marshall","White",0.0464703895053216,0.000272242524389676,0.059282281076408,-0.00883139596484017
"mean_ppa318","J.D. Williams","UNLV","Black",0.0636345160946074,0.0504815189914136,-0.00848870810316982,0.0394169546216201
"mean_ppa319","Jack Curtis","Georgia Southern","White",-0.00838450926834872,0.0286075100910705,0.0021644904012231,0.0440056409792665
"mean_ppa320","Jack Curtis","Tulane","White",-0.0381585663026809,0.0121436208454378,0.0527454378182115,0.0494274150904391
"mean_ppa321","Jacob Yoro","Hawai'i","Other",0.0714966476632885,0.0296297631281865,-0.0565213067911992,0.0643761200349836
"mean_ppa322","Jaime Hill","BYU","Black",0.00378236849083055,0.00622266901742657,-0.00747724476666509,0.00097414784675981
"mean_ppa323","Jake Dickert","Washington State","White",-0.12343969875588,-0.0315829059565677,0.00756862293012012,-0.0545829252413573
"mean_ppa324","Jake Dickert","Wyoming","White",0.0604829812031452,0.019283959415944,-0.0282631632687404,-0.0154825350117919
"mean_ppa325","James Willis","Louisiana","Black",-0.093327810794647,-0.00707157247259693,-0.00156596392918246,-0.0229127205966621
"mean_ppa326","James Willis","Texas Tech","Black",-0.0235151139389224,0.00539906178941196,0.0121341774593372,-0.0378542278642619
"mean_ppa327","Jamie Bryant","Houston","White",0.0336581359464059,0.017686850829279,0.00182794283944773,0.0202192669078857
"mean_ppa328","Jamie Bryant","Vanderbilt","White",-0.0196654093341852,0.00996869905037018,0.0201352250177632,-0.00178724818565912
"mean_ppa329","Jason Jones","Ole Miss","Black",-0.0769588495163578,-0.0121916579943325,0.036599643968335,0.00222735451056139
"mean_ppa330","Jason Rollins","Tulane","Black",-0.133693016793277,-0.0296810860033118,0.0303240546221028,-0.0473236449822546
"mean_ppa331","Jason Rollins","UT San Antonio","Black",-0.0968536577984734,-0.0399327408186202,-0.0477299312154622,-0.0799767225475593
"mean_ppa332","Jason Tarver","Stanford","White",0.0568304106955465,0.0617933227609456,-0.0947443782177361,0.03822685212524
"mean_ppa333","Jason Tarver","Vanderbilt","White",-0.104264712614935,-0.0625190620760983,0.04818459640174,-0.0524618464677376
"mean_ppa334","Jay Bateman","Army","White",-0.0777861514155961,0.00190838383746017,-0.000434148520354227,-0.012889136775283
"mean_ppa335","Jay Bateman","Ball State","White",-0.0788054225310763,-0.0115260784118773,0.0623637028364359,-0.0213704914484873
"mean_ppa336","Jay Bateman","North Carolina","White",0.00883087278150435,0.0167732117536826,-0.00119364048561435,-0.00425222269047698
"mean_ppa337","Jay Hood","Ball State","White",0.0234699965317514,0.00944448173358592,0.0402734551559432,0.0490594249459497
"mean_ppa338","Jay Hood","Miami (OH)","White",-0.0241235181030694,-0.0397364745107758,0.00512578906900801,-0.0327270476547985
"mean_ppa339","Jay Hopson","Memphis","White",0.00607077435572191,0.00292472780682984,-0.0272021383738138,-0.0249139374589629
"mean_ppa340","Jay Hopson","Southern Mississippi","White",0.0915476783749756,0.00955069092826166,-0.0342949116225699,0.0178027134628042
"mean_ppa341","Jay Niemann","Northern Illinois","White",-0.0608388336422669,-0.0292967130555247,0.0712161777941083,-0.0228070043774832
"mean_ppa342","Jay Niemann","Rutgers","White",0.0299201558443649,0.00558450138268313,0.0415409705982549,0.0514895167833575
"mean_ppa343","Jay Peterson","Miami (OH)","Black",-0.144677943063794,-0.10457553579667,0.0679354471967797,-0.0875114259134195
"mean_ppa344","Jay Sawvel","Minnesota","White",0.0370878177819053,0.0510111736397795,-0.0360519459654954,0.043857749233787
"mean_ppa345","Jay Sawvel","Wake Forest","White",-0.0460851565516632,-0.0150114506781356,-0.0295011399339883,-0.0238855042876158
"mean_ppa346","Jay Sawvel","Wyoming","White",-0.0401539721552471,-0.00277855304401409,0.0384196331447993,0.00469615392609479
"mean_ppa347","Jeff Burrow","Kent State","Black",-0.0707115167785788,0.00161117286905171,-0.0340689294896792,-0.00855429818466097
"mean_ppa348","Jeff Casteel","Arizona","White",-0.079106945676305,-0.0293487839381553,0.016786158413469,-0.0418448673132391
"mean_ppa349","Jeff Casteel","Nevada","White",0.0211916938153898,0.0391284266035425,-0.0331774287098832,0.0114838816833778
"mean_ppa350","Jeff Choate","Texas","White",-0.110219562702031,-0.0187053158399025,0.0380110292076184,-0.0197933663310644
"mean_ppa351","Jeff Copp","Florida International","White",0.0418857080358804,0.0379407946430562,-0.0269536664584231,0.0549556859522898
"mean_ppa352","Jeff Hafley","Ohio State","White",0.0392867287322201,0.0320884262548473,-0.0104416695063603,0.0656335936100839
"mean_ppa353","Jeff Knowles","Northern Illinois","White",0.0252025724931988,0.0326987690114354,-0.0132923039606186,0.00123053415488583
"mean_ppa354","Jeff Knowles","Temple","White",-0.126035367125927,-0.0445837395067383,0.0410506407901048,-0.0378059174008092
"mean_ppa355","Jeff Mills","New Mexico","White",-0.0790712037393126,-0.0100691209038944,0.0133777656682812,-0.0179843334806302
"mean_ppa356","Jeff Schmedding","Boise State","White",-0.0323969532250552,0.0301967073220825,-0.0289097441518331,0.0268715923176054
"mean_ppa357","Jeff Ulbrich","UCLA","White",-0.0283907265426697,0.0145815982920402,0.000916511957017807,0.0344386218070429
"mean_ppa358","Jeremy Pruitt","Alabama","White",0.064820275261161,0.0235744318703366,-0.000159517591802466,0.0208813195368402
"mean_ppa359","Jeremy Pruitt","Florida State","White",0.0193504152183218,0.004650738183062,0.0376094564168356,-0.0229155453653231
"mean_ppa360","Jeremy Pruitt","Georgia","White",-0.0466610237465161,-0.00706395371421975,0.0303371085577519,0.0291684982100975
"mean_ppa361","Jeremy Rowell","Troy","White",-0.0154441773346208,-0.00203381152189186,0.0246136570325145,0.0210956296059315
"mean_ppa362","Jerod Kruse","Florida International","White",0.0418857080358804,0.0379407946430562,-0.0269536664584231,0.0549556859522898
"mean_ppa363","Jerry Azzinaro","UCLA","White",-0.0901690104806948,-0.0236153624910942,-0.0339243497931901,-0.0533832629196759
"mean_ppa364","Jess Loepp","UT San Antonio","White",0.0246848586229519,0.026279791259584,0.0290394944441192,0.00788641497353215
"mean_ppa365","Jesse Minter","Georgia State","White",0.101792838617973,0.0903862608933923,0.0186279473036755,0.223589940472386
"mean_ppa366","Jesse Minter","Vanderbilt","White",-0.058905093422453,-0.0061783036584005,0.0133575181916143,-0.0348339651451422
