"","College","Coach","Role","Race","year_start","year_end","duration"
"128","Eastern Michigan","Jeff Woodruff","Head Coach","White",2000,2003,4
"129","Eastern Michigan","Jeff Genyk","Head Coach","White",2004,2008,5
"130","Eastern Michigan","Ron English","Head Coach","Black",2009,2013,5
"131","Eastern Michigan","Chris Creighton","Head Coach","White",2014,2021,8
"132","Florida Atlantic","Howard Schnellenberger","Head Coach","White",2005,2011,7
"133","Florida Atlantic","Carl Pelini","Head Coach","White",2012,2013,2
"134","Florida Atlantic","Charlie Partridge","Head Coach","White",2014,2016,3
"135","Florida Atlantic","Lane Kiffin","Head Coach","White",2017,2019,3
"136","Florida Atlantic","Willie Taggart","Head Coach","Black",2020,2021,2
"137","Florida International","Don Strock","Head Coach","White",2005,2006,2
"138","Florida International","Mario Cristobal","Head Coach","Other",2007,2012,6
"139","Florida International","Ron Turner","Head Coach","White",2013,2016,4
"140","Florida International","Butch Davis","Head Coach","White",2017,2021,5
"141","Florida","Steve Spurrier","Head Coach","White",2000,2001,2
"142","Florida","Ron Zook","Head Coach","White",2002,2004,3
"143","Florida","Urban Meyer","Head Coach","White",2005,2010,6
"144","Florida","Will Muschamp","Head Coach","White",2011,2014,4
"145","Florida","Jim McElwain","Head Coach","White",2015,2017,3
"146","Florida","Dan Mullen","Head Coach","White",2018,2021,4
"147","Florida State","Bobby Bowden","Head Coach","White",2000,2009,10
"148","Florida State","Jimbo Fisher","Head Coach","White",2010,2017,8
"149","Florida State","Willie Taggart","Head Coach","Black",2018,2019,2
"150","Florida State","Mike Norvell","Head Coach","White",2020,2021,2
"151","Fresno State","Pat Hill","Head Coach","White",2000,2011,12
"152","Fresno State","Tim DeRuyter","Head Coach","White",2012,2016,5
"153","Fresno State","Jeff Tedford","Head Coach","White",2017,2019,3
"154","Fresno State","Kalen DeBoer","Head Coach","White",2020,2021,2
"155","Georgia","Jim Donnan","Head Coach","White",2000,2000,1
"156","Georgia","Mark Richt","Head Coach","White",2001,2015,15
"157","Georgia","Kirby Smart","Head Coach","White",2016,2021,6
"158","Georgia Southern","Willie Fritz","Head Coach","White",2014,2015,2
"159","Georgia Southern","Tyson Summers","Head Coach","White",2016,2017,2
"160","Georgia Southern","Chad Lunsford","Head Coach","White",2018,2021,4
"161","Georgia State","Trent Miles","Head Coach","Black",2013,2016,4
"162","Georgia State","Shawn Elliott","Head Coach","White",2017,2021,5
"163","Georgia Tech","George O'Leary","Head Coach","White",2000,2001,2
"164","Georgia Tech","Chan Gailey","Head Coach","White",2002,2007,6
"165","Georgia Tech","Paul Johnson","Head Coach","White",2008,2018,11
"166","Georgia Tech","Geoff Collins","Head Coach","White",2019,2021,3
"167","Hawai'i","June Jones","Head Coach","White",2000,2007,8
"168","Hawai'i","Greg McMackin","Head Coach","White",2008,2011,4
"169","Hawai'i","Norm Chow","Head Coach","Other",2012,2015,4
"170","Hawai'i","Nick Rolovich","Head Coach","White",2016,2019,4
"171","Hawai'i","Todd Graham","Head Coach","White",2020,2021,2
"172","Houston","Dana Dimel","Head Coach","White",2000,2002,3
"173","Houston","Art Briles","Head Coach","White",2003,2007,5
"174","Houston","Kevin Sumlin","Head Coach","Black",2008,2011,4
"175","Houston","Tony Levine","Head Coach","White",2012,2014,3
"176","Houston","Tom Herman","Head Coach","White",2015,2016,2
"177","Houston","Major Applewhite","Head Coach","White",2017,2018,2
"178","Houston","Dana Holgorsen","Head Coach","White",2019,2021,3
"179","Illinois","Ron Turner","Head Coach","White",2000,2004,5
"180","Illinois","Ron Zook","Head Coach","White",2005,2011,7
"181","Illinois","Tim Beckman","Head Coach","White",2012,2014,3
"182","Illinois","Bill Cubit","Head Coach","White",2015,2015,1
"183","Illinois","Lovie Smith","Head Coach","Black",2016,2020,5
"184","Illinois","Bret Bielema","Head Coach","White",2021,2021,1
"185","Indiana","Cam Cameron","Head Coach","White",2000,2001,2
"186","Indiana","Gerry DiNardo","Head Coach","White",2002,2004,3
"187","Indiana","Terry Hoeppner","Head Coach","White",2005,2006,2
"188","Indiana","Bill Lynch","Head Coach","White",2007,2010,4
"189","Indiana","Kevin Wilson","Head Coach","White",2011,2016,6
"190","Indiana","Tom Allen","Head Coach","White",2017,2021,5
"191","Iowa","Kirk Ferentz","Head Coach","White",2000,2021,22
"192","Iowa State","Dan McCarney","Head Coach","White",2000,2006,7
"193","Iowa State","Gene Chizik","Head Coach","White",2007,2008,2
"194","Iowa State","Paul Rhoads","Head Coach","White",2009,2015,7
"195","Iowa State","Matt Campbell","Head Coach","White",2016,2021,6
"196","Kansas","Terry Allen","Head Coach","White",2000,2001,2
"197","Kansas","Mark Mangino","Head Coach","White",2002,2009,8
"198","Kansas","Turner Gill","Head Coach","Black",2010,2011,2
"199","Kansas","Charlie Weis","Head Coach","White",2012,2014,3
"200","Kansas","David Beaty","Head Coach","White",2015,2018,4
"201","Kansas","Les Miles","Head Coach","White",2019,2020,2
"202","Kansas","Lance Leipold","Head Coach","White",2021,2021,1
"203","Kansas State","Bill Snyder","Head Coach","White",2000,2018,19
"204","Kansas State","Ron Prince","Head Coach","Other",2006,2008,3
"205","Kansas State","Chris Klieman","Head Coach","White",2019,2021,3
"206","Kent State","Dean Pees","Head Coach","White",2000,2003,4
"207","Kent State","Doug Martin","Head Coach","White",2004,2010,7
"208","Kent State","Darrell Hazell","Head Coach","Black",2011,2012,2
"209","Kent State","Paul Haynes","Head Coach","Black",2013,2017,5
"210","Kent State","Sean Lewis","Head Coach","White",2018,2021,4
