"","College","Coach","Role","Race","year_start","year_end","duration"
"1376","Stanford","Mike Sanford Sr.","Offensive Coordinator","White",2002,2002,1
"1377","Stanford","David Kelly","Offensive Coordinator","Black",2003,2003,1
"1378","Stanford","Bill Cubit","Offensive Coordinator","White",2004,2004,1
"1379","Stanford","David Shaw","Offensive Coordinator","Black",2007,2010,4
"1380","Stanford","Pep Hamilton","Offensive Coordinator","Black",2011,2012,2
"1381","Stanford","Mike Bloomgren","Offensive Coordinator","White",2013,2017,5
"1382","Stanford","Tavita Pritchard","Offensive Coordinator","White",2018,2021,4
"1383","Syracuse","George DeLeone","Offensive Coordinator","White",2000,2004,5
"1384","Syracuse","Brian Pariani","Offensive Coordinator","White",2005,2005,1
"1385","Syracuse","Brian White","Offensive Coordinator","White",2006,2007,2
"1386","Syracuse","Mitch Browning","Offensive Coordinator","White",2007,2008,2
"1387","Syracuse","Rob Spence","Offensive Coordinator","White",2009,2009,1
"1388","Syracuse","Nathaniel Hackett","Offensive Coordinator","White",2011,2012,2
"1389","Syracuse","George McDonald","Offensive Coordinator","Black",2013,2014,2
"1390","Syracuse","Tim Lester","Offensive Coordinator","White",2015,2015,1
"1391","Syracuse","Mike Lynch","Offensive Coordinator","White",2016,2019,4
"1392","Syracuse","Sean Lewis","Offensive Coordinator","White",2016,2017,2
"1393","Syracuse","Sterlin Gilbert","Offensive Coordinator","White",2020,2021,2
"1394","TCU","Les Koenning","Offensive Coordinator","White",2000,2000,1
"1395","TCU","Mike Schultz","Offensive Coordinator","White",2001,2008,8
"1396","TCU","Jarrett Anderson","Offensive Coordinator","White",2009,2013,5
"1397","TCU","Justin Fuente","Offensive Coordinator","White",2009,2011,3
"1398","TCU","Rusty Burns","Offensive Coordinator","White",2012,2013,2
"1399","TCU","Doug Meacham","Offensive Coordinator","White",2014,2021,8
"1400","TCU","Sonny Cumbie","Offensive Coordinator","White",2014,2020,7
"1401","TCU","Curtis Luper","Offensive Coordinator","Black",2017,2019,3
"1402","Temple","Charlie Fisher","Offensive Coordinator","White",2000,2001,2
"1403","Temple","Dave Brock","Offensive Coordinator","White",2002,2004,3
"1404","Temple","Willie Slater","Offensive Coordinator","Black",2005,2005,1
"1405","Temple","George DeLeone","Offensive Coordinator","White",2006,2007,2
"1406","Temple","Matt Rhule","Offensive Coordinator","White",2008,2010,3
"1407","Temple","Scot Loeffler","Offensive Coordinator","White",2011,2011,1
"1408","Temple","Ryan Day","Offensive Coordinator","White",2012,2012,1
"1409","Temple","Marcus Satterfield","Offensive Coordinator","White",2013,2015,3
"1410","Temple","Glenn Thomas","Offensive Coordinator","White",2016,2016,1
"1411","Temple","Dave Patenaude","Offensive Coordinator","White",2017,2018,2
"1412","Temple","Mike Uremovich","Offensive Coordinator","White",2019,2021,3
"1413","Tennessee","Randy Sanders","Offensive Coordinator","White",2000,2005,6
"1414","Tennessee","Greg Adkins","Offensive Coordinator","White",2004,2005,2
"1415","Tennessee","David Cutcliffe","Offensive Coordinator","White",2006,2007,2
"1416","Tennessee","Matt Luke","Offensive Coordinator","White",2006,2007,2
"1417","Tennessee","Dave Clawson","Offensive Coordinator","White",2008,2008,1
"1418","Tennessee","Jim Chaney","Offensive Coordinator","White",2009,2020,12
"1419","Tennessee","Mike Bajakian","Offensive Coordinator","White",2013,2014,2
"1420","Tennessee","Mike DeBord","Offensive Coordinator","White",2015,2016,2
"1421","Tennessee","Larry Scott","Offensive Coordinator","Black",2017,2017,1
"1422","Tennessee","Tyson Helton","Offensive Coordinator","White",2018,2018,1
"1423","Tennessee","Alex Golesh","Offensive Coordinator","White",2021,2021,1
"1424","Texas","Greg Davis","Offensive Coordinator","White",2000,2010,11
"1425","Texas","Bryan Harsin","Offensive Coordinator","White",2011,2012,2
"1426","Texas","Major Applewhite","Offensive Coordinator","White",2011,2013,3
"1427","Texas","Darrell Wyatt","Offensive Coordinator","White",2013,2013,1
"1428","Texas","Joe Wickline","Offensive Coordinator","White",2014,2015,2
"1429","Texas","Jay Norvell","Offensive Coordinator","Black",2015,2015,1
"1430","Texas","Sterlin Gilbert","Offensive Coordinator","White",2016,2016,1
"1431","Texas","Tim Beck","Offensive Coordinator","White",2017,2019,3
"1432","Texas","Herb Hand","Offensive Coordinator","White",2018,2020,3
"1433","Texas","Mike Yurcich","Offensive Coordinator","White",2020,2020,1
"1434","Texas","Kyle Flood","Offensive Coordinator","White",2021,2021,1
"1435","Texas A&M","Steve Kragthorpe","Offensive Coordinator","White",2000,2000,1
"1436","Texas A&M","Dino Babers","Offensive Coordinator","Black",2001,2001,1
"1437","Texas A&M","Kevin Sumlin","Offensive Coordinator","Black",2002,2002,1
"1438","Texas A&M","Les Koenning","Offensive Coordinator","White",2003,2007,5
"1439","Texas A&M","Nolan Cromwell","Offensive Coordinator","White",2008,2009,2
"1440","Texas A&M","Kliff Kingsbury","Offensive Coordinator","White",2012,2012,1
"1441","Texas A&M","Clarence McKinney","Offensive Coordinator","Black",2013,2013,1
"1442","Texas A&M","Jake Spavital","Offensive Coordinator","White",2013,2015,3
"1443","Texas A&M","Noel Mazzone","Offensive Coordinator","White",2016,2017,2
"1444","Texas A&M","Darrell Dickey","Offensive Coordinator","White",2018,2021,4
"1445","Texas A&M","Jay Graham","Offensive Coordinator","Black",2019,2019,1
"1446","Texas State","Jeff Conway","Offensive Coordinator","White",2012,2015,4
"1447","Texas State","Adrian Mayes","Offensive Coordinator","Black",2016,2016,1
"1448","Texas State","Brett Elliott","Offensive Coordinator","White",2016,2016,1
"1449","Texas State","Jacob Peeler","Offensive Coordinator","White",2020,2021,2
"1450","Texas Tech","Dana Holgorsen","Offensive Coordinator","White",2005,2007,3
"1451","Texas Tech","Sonny Dykes","Offensive Coordinator","White",2005,2006,2
"1452","Texas Tech","Neal Brown","Offensive Coordinator","White",2010,2012,3
"1453","Texas Tech","Eric Morris","Offensive Coordinator","White",2013,2017,5
"1454","Texas Tech","Sonny Cumbie","Offensive Coordinator","White",2013,2021,9
"1455","Texas Tech","Clay McGuire","Offensive Coordinator","White",2018,2018,1
"1456","Texas Tech","Kevin Johns","Offensive Coordinator","White",2018,2018,1
"1457","Texas Tech","David Yost","Offensive Coordinator","White",2019,2020,2
"1458","Toledo","Dave Christensen","Offensive Coordinator","White",2000,2000,1
"1459","Toledo","John Shannon","Offensive Coordinator","White",2005,2007,3
"1460","Toledo","Chris Hedden","Offensive Coordinator","White",2008,2008,1
"1461","Toledo","Matt Campbell","Offensive Coordinator","White",2010,2011,2
"1462","Toledo","Jason Candle","Offensive Coordinator","White",2012,2015,4
"1463","Toledo","Brian Wright","Offensive Coordinator","White",2016,2019,4
"1464","Toledo","Mike Hallett","Offensive Coordinator","White",2020,2021,2
"1465","Toledo","Robert Weiner","Offensive Coordinator","White",2020,2021,2
"1466","Troy","John Shannon","Offensive Coordinator","White",2001,2002,2
"1467","Troy","Mark Fleetwood","Offensive Coordinator","White",2003,2005,3
"1468","Troy","Tony Franklin","Offensive Coordinator","White",2006,2007,2
"1469","Troy","Neal Brown","Offensive Coordinator","White",2008,2009,2
"1470","Troy","Kenny Edenfield","Offensive Coordinator","White",2010,2017,8
"1471","Troy","Matt Moore","Offensive Coordinator","White",2015,2018,4
"1472","Troy","Sean Reagan","Offensive Coordinator","White",2018,2018,1
"1473","Troy","Ryan Pugh","Offensive Coordinator","White",2019,2020,2
"1474","Troy","Luke Meadows","Offensive Coordinator","White",2021,2021,1
"1475","Tulane","Frank Scelfo","Offensive Coordinator","White",2000,2006,7
"1476","Tulane","Dan Dodd","Offensive Coordinator","White",2007,2010,4
"1477","Tulane","Greg Davis Jr.","Offensive Coordinator","White",2011,2011,1
"1478","Tulane","Eric Price","Offensive Coordinator","White",2012,2015,4
"1479","Tulane","Doug Ruse","Offensive Coordinator","White",2016,2018,3
"1480","Tulane","Will Hall","Offensive Coordinator","White",2019,2020,2
"1481","Tulane","Chip Long","Offensive Coordinator","White",2021,2021,1
"1482","Tulsa","Jim Gilstrap","Offensive Coordinator","White",2000,2001,2
"1483","Tulsa","Dan Lounsbury","Offensive Coordinator","White",2002,2002,1
"1484","Tulsa","Charlie Stubbs","Offensive Coordinator","White",2003,2006,4
"1485","Tulsa","Gus Malzahn","Offensive Coordinator","White",2007,2008,2
"1486","Tulsa","Herb Hand","Offensive Coordinator","White",2007,2010,4
"1487","Tulsa","Chad Morris","Offensive Coordinator","White",2010,2010,1
"1488","Tulsa","Greg Peterson","Offensive Coordinator","White",2011,2013,3
"1489","Tulsa","Denver Johnson","Offensive Coordinator","White",2014,2014,1
"1490","Tulsa","Matt Mattox","Offensive Coordinator","White",2015,2015,1
"1491","Tulsa","Sterlin Gilbert","Offensive Coordinator","White",2015,2015,1
"1492","UAB","Pat Sullivan","Offensive Coordinator","White",2000,2006,7
"1493","UAB","Kim Helton","Offensive Coordinator","White",2007,2011,5
"1494","UAB","Jeff Brohm","Offensive Coordinator","White",2012,2012,1
"1495","UAB","Richard Owens","Offensive Coordinator","White",2013,2013,1
"1496","UAB","Bryant Vincent","Offensive Coordinator","White",2014,2020,7
"1497","UAB","Les Koenning","Offensive Coordinator","White",2017,2017,1
"1498","UCF","Robert McFarland","Offensive Coordinator","White",2001,2003,3
"1499","UCF","Tim Salem","Offensive Coordinator","White",2004,2008,5
"1500","UCF","Charlie Taaffe","Offensive Coordinator","White",2009,2014,6
"1501","UCF","Brent Key","Offensive Coordinator","White",2015,2015,1
"1502","UCF","Troy Walters","Offensive Coordinator","Black",2016,2017,2
"1503","UCF","Jeff Lebby","Offensive Coordinator","White",2018,2019,2
"1504","UCF","Alex Golesh","Offensive Coordinator","White",2020,2020,1
"1505","UCF","Anthony Tucker","Offensive Coordinator","Black",2020,2020,1
"1506","UCF","G.J. Kinne","Offensive Coordinator","White",2021,2021,1
"1507","UCF","Tim Harris Jr.","Offensive Coordinator","Black",2021,2021,1
"1508","UCLA","Al Borges","Offensive Coordinator","White",2000,2000,1
"1509","UCLA","Gary Bernardi","Offensive Coordinator","White",2001,2001,1
"1510","UCLA","Kelly Skipper","Offensive Coordinator","Black",2001,2002,2
"1511","UCLA","Steve Axman","Offensive Coordinator","White",2003,2003,1
"1512","UCLA","Tom Cable","Offensive Coordinator","White",2004,2005,2
"1513","UCLA","Jim Svoboda","Offensive Coordinator","White",2006,2006,1
"1514","UCLA","Jay Norvell","Offensive Coordinator","Black",2007,2007,1
"1515","UCLA","Norm Chow","Offensive Coordinator","Other",2008,2010,3
"1516","UCLA","Michael Johnson","Offensive Coordinator","Black",2011,2011,1
"1517","UCLA","Noel Mazzone","Offensive Coordinator","White",2012,2015,4
"1518","UCLA","Kennedy Polamalu","Offensive Coordinator","Other",2016,2016,1
"1519","UCLA","Justin Frye","Offensive Coordinator","White",2019,2021,3
"1520","Connecticut","Dave Warner","Offensive Coordinator","White",2000,2000,1
"1521","Connecticut","Jerry Franks","Offensive Coordinator","White",2001,2001,1
"1522","Connecticut","Norries Wilson","Offensive Coordinator","Black",2002,2005,4
"1523","Connecticut","Rob Ambrose","Offensive Coordinator","White",2006,2008,3
"1524","Connecticut","Joe Moorhead","Offensive Coordinator","White",2009,2010,2
"1525","Connecticut","George DeLeone","Offensive Coordinator","White",2011,2012,2
"1526","Connecticut","T.J. Weist","Offensive Coordinator","White",2013,2013,1
"1527","Connecticut","Mike Cummings","Offensive Coordinator","White",2014,2016,3
"1528","Connecticut","Frank Verducci","Offensive Coordinator","White",2015,2016,2
"1529","Connecticut","Rhett Lashlee","Offensive Coordinator","White",2017,2017,1
"1530","Connecticut","Frank Giufre","Offensive Coordinator","White",2019,2021,3
"1531","UNLV","Rob Boras","Offensive Coordinator","White",2001,2003,3
"1532","UNLV","Vince Alcalde","Offensive Coordinator","White",2003,2003,1
"1533","UNLV","Bruce Snyder","Offensive Coordinator","White",2004,2004,1
"1534","UNLV","Gary Bernardi","Offensive Coordinator","White",2005,2009,5
"1535","UNLV","Noah Brindise","Offensive Coordinator","White",2005,2006,2
"1536","UNLV","Todd Berry","Offensive Coordinator","White",2007,2009,3
"1537","UNLV","Rob Phenicie","Offensive Coordinator","White",2010,2011,2
"1538","UNLV","Brent Myers","Offensive Coordinator","White",2012,2012,1
"1539","UNLV","Timm Rosenbach","Offensive Coordinator","White",2013,2014,2
"1540","UNLV","Barney Cotton","Offensive Coordinator","White",2015,2018,4
"1541","UNLV","Garin Justice","Offensive Coordinator","White",2019,2019,1
"1542","UNLV","Glenn Thomas","Offensive Coordinator","White",2021,2021,1
"1543","USC","Hue Jackson","Offensive Coordinator","Black",2000,2000,1
"1544","USC","Norm Chow","Offensive Coordinator","Other",2001,2004,4
"1545","USC","Lane Kiffin","Offensive Coordinator","White",2005,2006,2
"1546","USC","Steve Sarkisian","Offensive Coordinator","White",2007,2008,2
"1547","USC","John Morton","Offensive Coordinator","White",2009,2009,1
"1548","USC","Kennedy Polamalu","Offensive Coordinator","Other",2010,2012,3
"1549","USC","Clay Helton","Offensive Coordinator","White",2013,2015,3
"1550","USC","Tee Martin","Offensive Coordinator","Black",2015,2018,4
"1551","USC","Graham Harrell","Offensive Coordinator","White",2019,2021,3
"1552","South Florida","Mike Hobbie","Offensive Coordinator","White",2001,2004,4
"1553","South Florida","Rod Smith","Offensive Coordinator","White",2006,2006,1
"1554","South Florida","Greg Gregory","Offensive Coordinator","White",2007,2008,2
"1555","South Florida","Mike Canales","Offensive Coordinator","White",2009,2009,1
"1556","South Florida","Todd Fitch","Offensive Coordinator","White",2010,2012,3
"1557","South Florida","Danny Hope","Offensive Coordinator","White",2015,2015,1
"1558","South Florida","David Reaves","Offensive Coordinator","White",2015,2015,1
"1559","South Florida","Darren Hiller","Offensive Coordinator","White",2016,2016,1
"1560","South Florida","T.J. Weist","Offensive Coordinator","White",2016,2016,1
"1561","South Florida","Sterlin Gilbert","Offensive Coordinator","White",2017,2018,2
"1562","South Florida","Kerwin Bell","Offensive Coordinator","White",2019,2019,1
"1563","Utah","Tommy Lee","Offensive Coordinator","White",2000,2000,1
"1564","Utah","Craig Ver Steeg","Offensive Coordinator","White",2001,2002,2
"1565","Utah","Mike Sanford Sr.","Offensive Coordinator","White",2003,2004,2
"1566","Utah","Andy Ludwig","Offensive Coordinator","White",2005,2021,17
"1567","Utah","Dave Schramm","Offensive Coordinator","White",2009,2010,2
"1568","Utah","Aaron Roderick","Offensive Coordinator","White",2010,2016,7
"1569","Utah","Norm Chow","Offensive Coordinator","Other",2011,2011,1
"1570","Utah","Brian Johnson","Offensive Coordinator","Black",2012,2013,2
"1571","Utah","Dennis Erickson","Offensive Coordinator","White",2013,2013,1
"1572","Utah","Dave Christensen","Offensive Coordinator","White",2014,2014,1
"1573","Utah","Jim Harding","Offensive Coordinator","White",2015,2016,2
"1574","Utah","Troy Taylor","Offensive Coordinator","White",2017,2018,2
"1575","Utah State","Bob Cole","Offensive Coordinator","White",2000,2004,5
"1576","Utah State","Mike Santiago","Offensive Coordinator","White",2005,2006,2
"1577","Utah State","Darrell Dickey","Offensive Coordinator","White",2007,2008,2
"1578","Utah State","Dave Baldwin","Offensive Coordinator","White",2009,2011,3
"1579","Utah State","Matt Wells","Offensive Coordinator","White",2012,2012,1
"1580","Utah State","Kevin McGiven","Offensive Coordinator","White",2013,2014,2
"1581","Utah State","Luke Wells","Offensive Coordinator","White",2013,2016,4
"1582","Utah State","Josh Heupel","Offensive Coordinator","White",2015,2015,1
"1583","Utah State","Jovon Bouknight","Offensive Coordinator","Black",2016,2016,1
"1584","Utah State","David Yost","Offensive Coordinator","White",2017,2018,2
"1585","Utah State","Mike Sanford Jr.","Offensive Coordinator","White",2019,2019,1
"1586","Utah State","Bodie Reeder","Offensive Coordinator","White",2020,2020,1
"1587","Utah State","Anthony Tucker","Offensive Coordinator","Black",2021,2021,1
"1588","UTEP","Patrick Higgins","Offensive Coordinator","White",2000,2015,16
"1589","UTEP","Eric Price","Offensive Coordinator","White",2004,2007,4
"1590","UTEP","Aaron Price","Offensive Coordinator","White",2008,2012,5
"1591","UTEP","Bob Connelly","Offensive Coordinator","White",2008,2010,3
"1592","UTEP","Brian Natkin","Offensive Coordinator","White",2012,2012,1
"1593","UTEP","Brent Pease","Offensive Coordinator","White",2016,2017,2
"1594","UTEP","Mike Canales","Offensive Coordinator","White",2018,2020,3
"1595","UTEP","Dave Warner","Offensive Coordinator","White",2021,2021,1
"1596","UT San Antonio","Travis Bush","Offensive Coordinator","White",2011,2011,1
"1597","UT San Antonio","Kevin Brown","Offensive Coordinator","White",2012,2015,4
"1598","UT San Antonio","Frank Scelfo","Offensive Coordinator","White",2016,2017,2
"1599","UT San Antonio","Al Borges","Offensive Coordinator","White",2018,2018,1
"1600","UT San Antonio","Jeff Kastl","Offensive Coordinator","White",2019,2019,1
"1601","Vanderbilt","Steve Crosby","Offensive Coordinator","White",2000,2001,2
"1602","Vanderbilt","Ted Cain","Offensive Coordinator","White",2002,2009,8
"1603","Vanderbilt","Jimmy Kiser","Offensive Coordinator","White",2010,2010,1
"1604","Vanderbilt","John Donovan","Offensive Coordinator","White",2011,2013,3
"1605","Vanderbilt","Karl Dorrell","Offensive Coordinator","Black",2014,2014,1
"1606","Vanderbilt","Andy Ludwig","Offensive Coordinator","White",2015,2018,4
"1607","Vanderbilt","Gerry Gdowski","Offensive Coordinator","White",2019,2019,1
"1608","Vanderbilt","David Raih","Offensive Coordinator","White",2021,2021,1
"1609","Virginia","Gary Tranquill","Offensive Coordinator","White",2000,2000,1
"1610","Virginia","Bill Musgrave","Offensive Coordinator","White",2001,2002,2
"1611","Virginia","Ron Prince","Offensive Coordinator","Black",2003,2005,3
"1612","Virginia","Mike Groh","Offensive Coordinator","White",2006,2008,3
"1613","Virginia","Gregg Brandon","Offensive Coordinator","White",2009,2009,1
"1614","Virginia","Bill Lazor","Offensive Coordinator","White",2010,2012,3
"1615","Virginia","Steve Fairchild","Offensive Coordinator","White",2013,2015,3
"1616","Virginia","Robert Anae","Offensive Coordinator","White",2016,2021,6
"1617","Virginia Tech","Rickey Bustle","Offensive Coordinator","White",2000,2001,2
"1618","Virginia Tech","Bryan Stinespring","Offensive Coordinator","White",2002,2012,11
"1619","Virginia Tech","Scot Loeffler","Offensive Coordinator","White",2013,2015,3
"1620","Virginia Tech","Brad Cornelsen","Offensive Coordinator","White",2016,2021,6
"1621","Wake Forest","Eddie Williamson","Offensive Coordinator","White",2000,2000,1
"1622","Wake Forest","Troy Calhoun","Offensive Coordinator","White",2001,2002,2
"1623","Wake Forest","Steed Lobotzke","Offensive Coordinator","White",2003,2013,11
"1624","Wake Forest","Warren Ruggiero","Offensive Coordinator","White",2014,2021,8
"1625","Washington","Keith Gilbertson","Offensive Coordinator","White",2000,2002,3
"1626","Washington","John Pettas","Offensive Coordinator","White",2003,2004,2
"1627","Washington","Tim Lappano","Offensive Coordinator","White",2005,2008,4
"1628","Washington","Doug Nussmeier","Offensive Coordinator","White",2009,2011,3
"1629","Washington","Eric Kiesau","Offensive Coordinator","White",2012,2013,2
"1630","Washington","Jonathan Smith","Offensive Coordinator","White",2014,2017,4
"1631","Washington","Matt Lubick","Offensive Coordinator","White",2017,2018,2
"1632","Washington","Bush Hamdan","Offensive Coordinator","Other",2018,2019,2
"1633","Washington","John Donovan","Offensive Coordinator","White",2020,2021,2
"1634","Washington State","John McDonell","Offensive Coordinator","White",2000,2000,1
"1635","Washington State","Mike Levenseller","Offensive Coordinator","White",2001,2007,7
"1636","Washington State","Todd Sturdy","Offensive Coordinator","White",2008,2011,4
"1637","Washington State","Brian Smith","Offensive Coordinator","White",2020,2020,1
"1638","Washington State","Craig Stutzmann","Offensive Coordinator","Other",2020,2021,2
"1639","West Virginia","Bill Legg","Offensive Coordinator","White",2000,2000,1
"1640","West Virginia","Herb Hand","Offensive Coordinator","White",2001,2006,6
"1641","West Virginia","Calvin Magee","Offensive Coordinator","Black",2005,2007,3
"1642","West Virginia","Jeff Mullen","Offensive Coordinator","White",2008,2010,3
"1643","West Virginia","Shannon Dawson","Offensive Coordinator","White",2012,2014,3
"1644","West Virginia","Joe Wickline","Offensive Coordinator","White",2016,2016,1
"1645","West Virginia","Jake Spavital","Offensive Coordinator","White",2017,2018,2
"1646","West Virginia","Chad Scott","Offensive Coordinator","Black",2019,2021,3
"1647","West Virginia","Matt Moore","Offensive Coordinator","White",2019,2019,1
"1648","West Virginia","Gerad Parker","Offensive Coordinator","White",2020,2021,2
"1649","Western Kentucky","Kevin Wright","Offensive Coordinator","White",2008,2008,1
"1650","Western Kentucky","Walt Wells","Offensive Coordinator","White",2009,2009,1
"1651","Western Kentucky","Zach Azzanni","Offensive Coordinator","White",2011,2011,1
"1652","Western Kentucky","Tyson Helton","Offensive Coordinator","White",2014,2015,2
"1653","Western Kentucky","Brian Brohm","Offensive Coordinator","White",2016,2016,1
"1654","Western Kentucky","Junior Adams","Offensive Coordinator","Black",2017,2018,2
"1655","Western Kentucky","Bryan Ellis","Offensive Coordinator","White",2019,2021,3
"1656","Western Kentucky","Ryan Aplin","Offensive Coordinator","White",2020,2020,1
"1657","Western Kentucky","Zach Kittley","Offensive Coordinator","White",2021,2021,1
"1658","Western Michigan","Brian Rock","Offensive Coordinator","White",2000,2004,5
"1659","Western Michigan","Mike Cummings","Offensive Coordinator","White",2004,2004,1
"1660","Western Michigan","George McDonald","Offensive Coordinator","Black",2005,2006,2
"1661","Western Michigan","Ryan Cubit","Offensive Coordinator","White",2012,2012,1
"1662","Western Michigan","Kirk Ciarrocca","Offensive Coordinator","White",2013,2016,4
"1663","Western Michigan","Jake Moreland","Offensive Coordinator","Black",2017,2020,4
"1664","Western Michigan","Kevin Johns","Offensive Coordinator","White",2017,2017,1
"1665","Western Michigan","Bill Kenney","Offensive Coordinator","White",2021,2021,1
"1666","Western Michigan","Eric Evans","Offensive Coordinator","White",2021,2021,1
"1667","Western Michigan","Mike Bath","Offensive Coordinator","White",2021,2021,1
"1668","Wisconsin","Brian White","Offensive Coordinator","White",2000,2005,6
"1669","Wisconsin","Paul Chryst","Offensive Coordinator","White",2005,2011,7
"1670","Wisconsin","Matt Canada","Offensive Coordinator","White",2012,2012,1
"1671","Wisconsin","Andy Ludwig","Offensive Coordinator","White",2013,2014,2
"1672","Wisconsin","Joe Rudolph","Offensive Coordinator","White",2015,2019,5
"1673","Wyoming","Rusty Burns","Offensive Coordinator","White",2000,2001,2
"1674","Wyoming","Bob Cockhill","Offensive Coordinator","White",2003,2007,5
"1675","Wyoming","Bob Cole","Offensive Coordinator","White",2008,2008,1
"1676","Wyoming","Marcus Arroyo","Offensive Coordinator","White",2009,2010,2
"1677","Wyoming","Gregg Brandon","Offensive Coordinator","White",2011,2012,2
"1678","Wyoming","Jim Harding","Offensive Coordinator","White",2013,2013,1
"1679","Wyoming","Brent Vigen","Offensive Coordinator","White",2014,2018,5
"1680","Wyoming","Tim Polasek","Offensive Coordinator","White",2021,2021,1
"1681","Air Force","Richard Bell","Defensive Coordinator","White",2000,2006,7
"1682","Air Force","Tim DeRuyter","Defensive Coordinator","White",2007,2008,2
"1683","Air Force","John Rudzinski","Defensive Coordinator","White",2018,2021,4
"1684","Akron","Joe Palmisano","Defensive Coordinator","White",2000,2000,1
"1685","Akron","Joe Tresey","Defensive Coordinator","White",2002,2018,17
"1686","Akron","Jim Fleming","Defensive Coordinator","White",2004,2009,6
"1687","Akron","Curt Mallory","Defensive Coordinator","White",2010,2010,1
"1688","Akron","Kevin Cosgrove","Defensive Coordinator","White",2011,2011,1
"1689","Akron","Chuck Amato","Defensive Coordinator","White",2012,2016,5
"1690","Akron","Matt Feeney","Defensive Coordinator","White",2019,2021,3
"1691","Alabama","Ellis Johnson","Defensive Coordinator","White",2000,2000,1
"1692","Alabama","Carl Torbush","Defensive Coordinator","White",2001,2002,2
"1693","Alabama","Joe Kines","Defensive Coordinator","White",2003,2006,4
"1694","Alabama","Kevin Steele","Defensive Coordinator","White",2007,2008,2
"1695","Alabama","Kirby Smart","Defensive Coordinator","White",2008,2015,8
"1696","Alabama","Jeremy Pruitt","Defensive Coordinator","White",2016,2017,2
"1697","Alabama","Tosh Lupoi","Defensive Coordinator","White",2016,2018,3
"1698","Alabama","Pete Golding","Defensive Coordinator","White",2018,2021,4
"1699","Alabama","Charles Kelly","Defensive Coordinator","White",2019,2020,2
"1700","Appalachian State","Nate Woody","Defensive Coordinator","White",2014,2017,4
"1701","Appalachian State","Scot Sloan","Defensive Coordinator","White",2017,2017,1
"1702","Appalachian State","Bryan Brown","Defensive Coordinator","Black",2018,2018,1
"1703","Appalachian State","Dale Jones","Defensive Coordinator","White",2018,2021,4
"1704","Appalachian State","Ted Roof","Defensive Coordinator","White",2019,2019,1
"1705","Arizona","Duane Akina","Defensive Coordinator","White",2000,2000,1
"1706","Arizona","Rich Ellerson","Defensive Coordinator","White",2000,2000,1
"1707","Arizona","Larry Mac Duff","Defensive Coordinator","White",2001,2002,2
"1708","Arizona","Mark Stoops","Defensive Coordinator","White",2004,2009,6
"1709","Arizona","Greg Brown","Defensive Coordinator","White",2010,2010,1
"1710","Arizona","Tim Kish","Defensive Coordinator","White",2010,2011,2
"1711","Arizona","Jeff Casteel","Defensive Coordinator","White",2012,2015,4
"1712","Arizona","Marcel Yates","Defensive Coordinator","Black",2016,2019,4
"1713","Arizona","Paul Rhoads","Defensive Coordinator","White",2020,2020,1
"1714","Arizona","Don Brown","Defensive Coordinator","White",2021,2021,1
"1715","Arizona State","Phil Snow","Defensive Coordinator","White",2000,2000,1
"1716","Arizona State","Brent Guy","Defensive Coordinator","White",2001,2004,4
"1717","Arizona State","Bill Miller","Defensive Coordinator","White",2005,2006,2
"1718","Arizona State","Craig Bray","Defensive Coordinator","White",2007,2011,5
"1719","Arizona State","Paul Randolph","Defensive Coordinator","Black",2012,2013,2
"1720","Arizona State","Ron West","Defensive Coordinator","White",2012,2012,1
"1721","Arizona State","Chris Ball","Defensive Coordinator","White",2013,2015,3
"1722","Arizona State","Keith Patterson","Defensive Coordinator","White",2015,2016,2
"1723","Arizona State","Phil Bennett","Defensive Coordinator","White",2017,2017,1
"1724","Arizona State","Danny Gonzales","Defensive Coordinator","White",2018,2018,1
"1725","Arizona State","Marvin Lewis","Defensive Coordinator","Black",2020,2020,1
"1726","Arkansas","Bobby Allen","Defensive Coordinator","White",2000,2000,1
"1727","Arkansas","John Thompson","Defensive Coordinator","White",2000,2001,2
"1728","Arkansas","Dave Wommack","Defensive Coordinator","White",2002,2004,3
"1729","Arkansas","Reggie Herring","Defensive Coordinator","White",2005,2007,3
"1730","Arkansas","Willy Robinson","Defensive Coordinator","White",2008,2011,4
"1731","Arkansas","Paul Haynes","Defensive Coordinator","Black",2012,2012,1
"1732","Arkansas","Chris Ash","Defensive Coordinator","White",2013,2013,1
"1733","Arkansas","Robb Smith","Defensive Coordinator","White",2014,2016,3
"1734","Arkansas","Paul Rhoads","Defensive Coordinator","White",2017,2017,1
"1735","Arkansas","John Chavis","Defensive Coordinator","White",2018,2019,2
"1736","Arkansas","Barry Odom","Defensive Coordinator","White",2020,2020,1
"1737","Arkansas State","Leon Burtnett","Defensive Coordinator","White",2000,2001,2
"1738","Arkansas State","Jack Curtis","Defensive Coordinator","White",2002,2008,7
"1739","Arkansas State","Kevin Corless","Defensive Coordinator","White",2002,2010,9
"1740","Arkansas State","Dave Wommack","Defensive Coordinator","White",2011,2011,1
"1741","Arkansas State","John Thompson","Defensive Coordinator","White",2012,2012,1
"1742","Arkansas State","Joe Cauthen","Defensive Coordinator","White",2014,2018,5
"1743","Arkansas State","David Duggan","Defensive Coordinator","White",2019,2019,1
"1744","Army","Dennis Therrell","Defensive Coordinator","White",2000,2003,4
"1745","Army","John Mumford","Defensive Coordinator","White",2004,2008,5
