"","College","Coach","Role","Race","year_start","year_end"
"199","Kansas","Charlie Weis","Head Coach/Offensive Coordinator","White",2012,2014
"200","Kansas","David Beaty","Head Coach","White",2015,2018
"201","Kansas","Les Miles","Head Coach","White",2019,2020
"202","Kansas","Lance Leipold","Head Coach","White",2021,2021
"203","Kansas State","Bill Snyder","Head Coach","White",2000,2018
"204","Kansas State","Ron Prince","Head Coach","?",2006,2008
"205","Kansas State","Chris Klieman","Head Coach","White",2019,2021
"206","Kent State","Dean Pees","Head Coach","White",2000,2003
"207","Kent State","Doug Martin","Head Coach","White",2004,2010
"208","Kent State","Darrell Hazell","Head Coach","Black",2011,2012
"209","Kent State","Paul Haynes","Head Coach","Black",2013,2017
"210","Kent State","Sean Lewis","Head Coach","White",2018,2021
"211","Kentucky","Hal Mumme","Head Coach","White",2000,2000
"212","Kentucky","Guy Morriss","Head Coach/Offensive Line Coach","White",2001,2002
"213","Kentucky","Rich Brooks","Head Coach","White",2003,2009
"214","Kentucky","Joker Phillips","Head Coach","Black",2010,2012
"215","Kentucky","Mark Stoops","Head Coach","White",2013,2021
"216","Liberty","Turner Gill","Head Coach","Black",2018,2018
"217","Liberty","Hugh Freeze","Head Coach","White",2019,2021
"218","Louisiana","Jerry Baldwin","Head Coach","Black",2000,2001
"219","Louisiana","Rickey Bustle","Head Coach","White",2002,2010
"220","Louisiana","Mark Hudspeth","Head Coach","White",2011,2017
"221","Louisiana","Billy Napier","Head Coach","White",2018,2021
"222","Louisiana Monroe","Bobby Keasler","Head Coach","White",2000,2002
"223","Louisiana Monroe","Charlie Weatherbie","Head Coach","White",2003,2009
"224","Louisiana Monroe","Todd Berry","Head Coach","White",2010,2015
"225","Louisiana Monroe","Matt Viator","Head Coach","White",2016,2020
"226","Louisiana Tech","Jack Bicknell Jr.","Head Coach","White",2000,2006
"227","Louisiana Tech","Derek Dooley","Head Coach","White",2007,2009
"228","Louisiana Tech","Sonny Dykes","Head Coach","White",2010,2012
"229","Louisiana Tech","Skip Holtz","Head Coach","White",2013,2021
"230","Louisville","John L. Smith","Head Coach","White",2000,2002
"231","Louisville","Bobby Petrino","Head Coach","White",2003,2018
"232","Louisville","Steve Kragthorpe","Head Coach","White",2007,2009
"233","Louisville","Charlie Strong","Head Coach","Black",2010,2013
"234","Louisville","Scott Satterfield","Head Coach","White",2019,2021
"235","LSU","Nick Saban","Head Coach","White",2000,2004
"236","LSU","Les Miles","Head Coach","White",2005,2016
"237","LSU","Ed Orgeron","Head Coach","White",2017,2021
"238","Marshall","Bob Pruett","Head Coach","White",2000,2004
"239","Marshall","Mark Snyder","Head Coach","White",2005,2009
"240","Marshall","Doc Holliday","Head Coach","White",2010,2020
"241","Marshall","Charles Huff","Head Coach","Black",2021,2021
"242","Maryland","Ron Vanderlinden","Head Coach","White",2000,2000
"243","Maryland","Ralph Friedgen","Head Coach","White",2001,2010
"244","Maryland","Randy Edsall","Head Coach","White",2011,2015
"245","Maryland","D.J. Durkin","Head Coach","White",2016,2017
"246","Maryland","Matt Canada","Head Coach/Offensive Coordinator/Quarterbacks Coach","White",2018,2018
