"","College","Season","Coach","username","Coach.1","Role","Race"
"100","Arizona State",2003,"Dirk Koetter","dirk-koetter","Dirk Koetter","Head Coach/Offensive Coordinator","White"
"101","Arizona State",2004,"Dirk Koetter","dirk-koetter","Dirk Koetter","Head Coach/Offensive Coordinator","White"
"102","Arizona State",2005,"Dirk Koetter","dirk-koetter","Dirk Koetter","Head Coach/Offensive Coordinator","White"
"103","Arizona State",2006,"Dirk Koetter","dirk-koetter","Dirk Koetter","Head Coach","White"
"104","Arizona State",2007,"Dennis Erickson","dennis-erickson","Dennis Erickson","Head Coach","White"
"105","Arizona State",2008,"Dennis Erickson","dennis-erickson","Dennis Erickson","Head Coach","White"
"106","Arizona State",2009,"Dennis Erickson","dennis-erickson","Dennis Erickson","Head Coach","White"
"107","Arizona State",2010,"Dennis Erickson","dennis-erickson","Dennis Erickson","Head Coach","White"
"108","Arizona State",2011,"Dennis Erickson","dennis-erickson","Dennis Erickson","Head Coach","White"
"109","Arizona State",2012,"Todd Graham","todd-graham","Todd Graham","Head Coach","White"
"110","Arizona State",2013,"Todd Graham","todd-graham","Todd Graham","Head Coach","White"
"111","Arizona State",2014,"Todd Graham","todd-graham","Todd Graham","Head Coach","White"
"112","Arizona State",2015,"Todd Graham","todd-graham","Todd Graham","Head Coach","White"
"113","Arizona State",2016,"Todd Graham","todd-graham","Todd Graham","Head Coach","White"
"114","Arizona State",2017,"Todd Graham","todd-graham","Todd Graham","Head Coach","White"
"115","Arizona State",2018,"Herm Edwards","herm-edwards","Herm Edwards","Head Coach","Black"
"116","Arizona State",2019,"Herm Edwards","herm-edwards","Herm Edwards","Head Coach","Black"
"117","Arizona State",2020,"Herm Edwards","herm-edwards","Herm Edwards","Head Coach","Black"
"118","Arizona State",2021,"Herm Edwards","herm-edwards","Herm Edwards","Head Coach","Black"
"119","Arkansas",2000,"Houston Nutt","houston-nutt","Houston Nutt","Head Coach/Offensive Coordinator","White"
"120","Arkansas",2001,"Houston Nutt","houston-nutt","Houston Nutt","Head Coach/Offensive Coordinator","White"
"121","Arkansas",2002,"Houston Nutt","houston-nutt","Houston Nutt","Head Coach/Offensive Coordinator","White"
"122","Arkansas",2003,"Houston Nutt","houston-nutt","Houston Nutt","Head Coach/Offensive Coordinator","White"
"123","Arkansas",2004,"Houston Nutt","houston-nutt","Houston Nutt","Head Coach/Offensive Coordinator","White"
"124","Arkansas",2005,"Houston Nutt","houston-nutt","Houston Nutt","Head Coach/Offensive Coordinator","White"
"125","Arkansas",2006,"Houston Nutt","houston-nutt","Houston Nutt","Head Coach","White"
"126","Arkansas",2007,"Houston Nutt","houston-nutt","Houston Nutt","Head Coach","White"
"127","Arkansas",2008,"Bobby Petrino","bobby-petrino","Bobby Petrino","Head Coach","White"
"128","Arkansas",2009,"Bobby Petrino","bobby-petrino","Bobby Petrino","Head Coach","White"
"129","Arkansas",2010,"Bobby Petrino","bobby-petrino","Bobby Petrino","Head Coach","White"
"130","Arkansas",2011,"Bobby Petrino","bobby-petrino","Bobby Petrino","Head Coach","White"
