"","Coach","Team","Race","Net_PPA","Net_SR","Net_Stuff_Rate","Net_Pass_SR","Net_FPI","Tenure","total_sr","total_stuffs","total_pass_sr","total_ppa"
"37","Bronco Mendenhall","Virginia","White",0.0044820382179928,0.0290276771797247,0.0215198057894055,0.00854335753717456,NA,6,0.174166063078348,0.129118834736433,0.0512601452230473,0.0268922293079568
"38","Bryan Harsin","Arkansas State","White",-0.0756508039178887,-0.0358299371518286,0.030304577533661,-0.0296849709694457,-3.36666666666667,1,-0.0358299371518286,0.030304577533661,-0.0296849709694457,-0.0756508039178887
"39","Bryan Harsin","Auburn","White",0.0347856605073471,-0.0162335681044124,-0.0207693301996853,-0.0565114258529026,-6.96666666666667,1,-0.0162335681044124,-0.0207693301996853,-0.0565114258529026,0.0347856605073471
"40","Bryan Harsin","Boise State","White",0.0622964185096604,0.0108797552554479,-0.0315576744229675,-0.0336290514203628,-4.34761904761905,7,0.0761582867881355,-0.220903720960772,-0.23540335994254,0.436074929567623
"41","Butch Davis","Florida International","White",0.00775362361279738,-0.0163423092126013,-0.0196739497825256,0.000765946781007332,NA,5,-0.0817115460630063,-0.098369748912628,0.00382973390503666,0.0387681180639869
"42","Butch Davis","North Carolina","White",0.084084833366414,0.0566348165657022,-0.0874064772477132,0.0492588608893553,NA,4,0.226539266262809,-0.349625908990853,0.197035443557421,0.336339333465656
"43","Butch Jones","Arkansas State","White",-0.251806542619002,-0.0915454353798884,0.0366256449406307,-0.0781513155843762,-10,1,-0.0915454353798884,0.0366256449406307,-0.0781513155843762,-0.251806542619002
"44","Butch Jones","Central Michigan","White",-0.0106031405654138,0.0633080613474438,-0.0318398894115706,0.0443498541670768,NA,3,0.189924184042331,-0.0955196682347117,0.13304956250123,-0.0318094216962415
"45","Butch Jones","Cincinnati","White",-0.0408106415144202,-0.0156437501477326,-0.00868893334627885,-0.0617199432456212,-4.03333333333333,3,-0.0469312504431978,-0.0260668000388365,-0.185159829736864,-0.122431924543261
"46","Butch Jones","Tennessee","White",-0.0540663552576727,0.0109991074235977,-0.0151483965314063,0.017945643513623,2.80666666666667,5,0.0549955371179886,-0.0757419826570316,0.0897282175681149,-0.270331776288363
"47","Carl Pelini","Florida Atlantic","White",0.0859641484147711,0.0640862850883537,0.00274652743005782,0.0706092474358841,NA,2,0.128172570176707,0.00549305486011564,0.141218494871768,0.171928296829542
"48","Chad Lunsford","Georgia Southern","White",-0.014978891130935,-0.0126606226861113,-0.00428054604359329,-0.0336327674324252,NA,4,-0.0506424907444454,-0.0171221841743732,-0.134531069729701,-0.0599155645237398
"49","Chad Morris","Arkansas","White",-0.183944345233224,-0.0752647498226759,-0.00458747204812143,-0.116477091718245,-13.5333333333333,2,-0.150529499645352,-0.00917494409624287,-0.23295418343649,-0.367888690466448
"50","Chad Morris","SMU","White",0.0229852131543126,0.0115710456029907,-0.00469266437843496,0.0468233814900755,0.866666666666667,3,0.034713136808972,-0.0140779931353049,0.140470144470227,0.0689556394629377
