"","College","Season","Coach","username","Coach.1","Role","Race"
"61","Appalachian State",2014,"Nate Woody","nate-woody","Nate Woody","Defensive Coordinator/Outside Linebackers Coach","White"
"62","Appalachian State",2015,"Nate Woody","nate-woody","Nate Woody","Defensive Coordinator/Outside Linebackers Coach","White"
"63","Appalachian State",2016,"Nate Woody","nate-woody","Nate Woody","Defensive Coordinator/Outside Linebackers Coach","White"
"64","Appalachian State",2017,"Nate Woody","nate-woody","Nate Woody","Defensive Coordinator/Outside Linebackers Coach","White"
"65","Appalachian State",2017,"Scot Sloan","scot-sloan","Scot Sloan","Defensive Coordinator/Defensive Backs Coach","White"
"66","Appalachian State",2018,"Bryan Brown","bryan-brown","Bryan Brown","Defensive Coordinator/Cornerbacks Coach","Black"
"67","Appalachian State",2018,"Dale Jones","dale-jones","Dale Jones","Defensive Coordinator/Inside Linebackers Coach","White"
"68","Appalachian State",2019,"Ted Roof","ted-roof","Ted Roof","Defensive Coordinator/Inside Linebackers Coach","White"
"69","Appalachian State",2020,"Dale Jones","dale-jones","Dale Jones","Defensive Coordinator/Inside Linebackers Coach","White"
"70","Appalachian State",2021,"Dale Jones","dale-jones","Dale Jones","Defensive Coordinator/Inside Linebackers Coach","White"
"71","Arizona",2000,"Duane Akina","duane-akina","Duane Akina","Defensive Coordinator/Defensive Backs Coach","White"
"72","Arizona",2000,"Rich Ellerson","rich-ellerson","Rich Ellerson","Defensive Coordinator/Outside Linebackers Coach","White"
"73","Arizona",2001,"Larry Mac Duff","larry-mac-duff","Larry Mac Duff","Defensive Coordinator/Outside Linebackers Coach","White"
"74","Arizona",2002,"Larry Mac Duff","larry-mac-duff","Larry Mac Duff","Defensive Coordinator/Outside Linebackers Coach","White"
"75","Arizona",2004,"Mark Stoops","mark-stoops","Mark Stoops","Defensive Coordinator/Defensive Backs Coach","White"
"76","Arizona",2005,"Mark Stoops","mark-stoops","Mark Stoops","Defensive Coordinator/Defensive Backs Coach","White"
"77","Arizona",2006,"Mark Stoops","mark-stoops","Mark Stoops","Defensive Coordinator/Defensive Backs Coach","White"
"78","Arizona",2007,"Mark Stoops","mark-stoops","Mark Stoops","Defensive Coordinator/Defensive Backs Coach","White"
"79","Arizona",2008,"Mark Stoops","mark-stoops","Mark Stoops","Defensive Coordinator/Defensive Backs Coach","White"
"80","Arizona",2009,"Mark Stoops","mark-stoops","Mark Stoops","Defensive Coordinator/Defensive Backs Coach","White"
"81","Arizona",2010,"Greg Brown","greg-brown","Greg Brown","Defensive Coordinator/Defensive Backs Coach","White"
"82","Arizona",2010,"Tim Kish","tim-kish","Tim Kish","Defensive Coordinator/Linebackers Coach","White"
"83","Arizona",2011,"Tim Kish","tim-kish","Tim Kish","Defensive Coordinator/Linebackers Coach","White"
"84","Arizona",2012,"Jeff Casteel","jeff-casteel","Jeff Casteel","Defensive Coordinator/Linebackers Coach","White"
"85","Arizona",2013,"Jeff Casteel","jeff-casteel","Jeff Casteel","Defensive Coordinator/Linebackers Coach","White"
"86","Arizona",2014,"Jeff Casteel","jeff-casteel","Jeff Casteel","Defensive Coordinator/Linebackers Coach","White"
"87","Arizona",2015,"Jeff Casteel","jeff-casteel","Jeff Casteel","Defensive Coordinator/Linebackers Coach","White"
"88","Arizona",2016,"Marcel Yates","marcel-yates","Marcel Yates","Defensive Coordinator/Linebackers Coach","Black"
"89","Arizona",2017,"Marcel Yates","marcel-yates","Marcel Yates","Defensive Coordinator/Cornerbacks Coach","Black"
"90","Arizona",2018,"Marcel Yates","marcel-yates","Marcel Yates","Defensive Coordinator/Linebackers Coach","Black"
"91","Arizona",2019,"Marcel Yates","marcel-yates","Marcel Yates","Defensive Coordinator/Safeties Coach","Black"
"92","Arizona",2020,"Paul Rhoads","paul-rhoads","Paul Rhoads","Defensive Coordinator","White"
