"","College","Coach","Role","Race","year_start","year_end"
"102","Baylor","Brent Pease","Offensive Coordinator/Quarterbacks Coach","White",2003,2005
"103","Baylor","Lee Hays","Offensive Coordinator","White",2006,2007
"104","Baylor","Philip Montgomery","Offensive Coordinator/Quarterbacks Coach/Running Backs Coach","White",2008,2014
"105","Baylor","Randy Clements","Offensive Coordinator/Offensive Line Coach","White",2008,2011
"106","Baylor","Kendal Briles","Offensive Coordinator/Quarterbacks Coach","White",2015,2016
"107","Baylor","Glenn Thomas","Offensive Coordinator/Quarterbacks Coach","White",2017,2019
"108","Baylor","Jeff Nixon","Offensive Coordinator/Running Backs Coach","Black",2017,2019
"109","Baylor","Larry Fedora","Offensive Coordinator/Quarterbacks Coach","White",2020,2020
"110","Baylor","Jeff Grimes","Offensive Coordinator/Tight Ends Coach","White",2021,2021
"111","Boise State","Chris Petersen","Offensive Coordinator/Quarterbacks Coach","White",2001,2005
"112","Boise State","Bryan Harsin","Offensive Coordinator/Quarterbacks Coach","White",2006,2010
"113","Boise State","Brent Pease","Offensive Coordinator/Quarterbacks Coach","White",2011,2011
"114","Boise State","Robert Prince","Offensive Coordinator/Wide Receivers Coach","Other",2012,2013
"115","Boise State","Mike Sanford Jr.","Offensive Coordinator/Quarterbacks Coach","White",2014,2014
"116","Boise State","Eliah Drinkwitz","Offensive Coordinator/Quarterbacks Coach","White",2015,2015
"117","Boise State","Scott Huff","Offensive Coordinator/Offensive Line Coach","White",2016,2016
"118","Boise State","Zak Hill","Offensive Coordinator/Quarterbacks Coach","White",2016,2019
"119","Boise State","Eric Kiesau","Offensive Coordinator/Wide Receivers Coach","White",2019,2020
"120","Boise State","Tim Plough","Offensive Coordinator/Quarterbacks Coach","White",2021,2021
"121","Boston College","Dana Bible","Offensive Coordinator/Quarterbacks Coach/Wide Receivers Coach","White",2000,2006
"122","Boston College","Steve Logan","Offensive Coordinator/Quarterbacks Coach","White",2007,2008
"123","Boston College","Gary Tranquill","Offensive Coordinator/Quarterbacks Coach","White",2009,2010
"124","Boston College","Kevin Rogers","Offensive Coordinator/Quarterbacks Coach","White",2011,2011
"125","Boston College","Doug Martin","Offensive Coordinator/Quarterbacks Coach","White",2012,2012
"126","Boston College","Ryan Day","Offensive Coordinator/Quarterbacks Coach","White",2013,2014
"127","Boston College","Todd Fitch","Offensive Coordinator/Quarterbacks Coach","White",2015,2015
"128","Boston College","Scot Loeffler","Offensive Coordinator/Quarterbacks Coach","White",2016,2018
"129","Boston College","Mike Bajakian","Offensive Coordinator/Quarterbacks Coach","White",2019,2019
"130","Boston College","Frank Cignetti Jr.","Offensive Coordinator/Quarterbacks Coach","White",2020,2021
"131","Bowling Green","Tom Lichtenberg","Offensive Coordinator/Quarterbacks Coach","White",2000,2000
"132","Bowling Green","Greg Studrawa","Offensive Coordinator/Offensive Line Coach","White",2003,2005
"133","Bowling Green","Mick McCall","Offensive Coordinator/Quarterbacks Coach","White",2007,2007
"134","Bowling Green","Warren Ruggiero","Offensive Coordinator/Quarterbacks Coach","White",2009,2013
"135","Bowling Green","Matt Mattox","Offensive Coordinator/Offensive Line Coach","White",2014,2014
"136","Bowling Green","Sterlin Gilbert","Offensive Coordinator/Quarterbacks Coach","White",2014,2014
"137","Bowling Green","Mike Lynch","Offensive Coordinator/Running Backs Coach/Offensive Line Coach","White",2015,2015
"138","Bowling Green","Sean Lewis","Offensive Coordinator/Quarterbacks Coach","White",2015,2015
"139","Bowling Green","Andy Padron","Offensive Coordinator/Quarterbacks Coach","White",2016,2018
"140","Bowling Green","Kevin Kilmer","Offensive Coordinator/Inside Receivers Coach","White",2016,2018
"141","Bowling Green","Terry Malone","Offensive Coordinator/Offensive Line Coach","White",2019,2021
"142","Buffalo","Charlie Donner","Offensive Coordinator/Quarterbacks Coach","White",2000,2000
"143","Buffalo","Bill Lazor","Offensive Coordinator/Quarterbacks Coach","White",2001,2002
"144","Buffalo","Roy Istvan","Offensive Coordinator/Offensive Line Coach","White",2004,2005
"145","Buffalo","Gerald Carr","Offensive Coordinator/Quarterbacks Coach","Black",2006,2006
"146","Buffalo","Greg Forest","Offensive Coordinator/Quarterbacks Coach","White",2010,2010
"147","Buffalo","Alex Wood","Offensive Coordinator/Wide Receivers Coach","Black",2011,2014
"148","Buffalo","Andy Kotelnicki","Offensive Coordinator/Quarterbacks Coach","White",2015,2020
"149","Buffalo","Shane Montgomery","Offensive Coordinator/Quarterbacks Coach","White",2021,2021
"150","BYU","Lance Reynolds","Offensive Coordinator/Running Backs Coach","White",2000,2000
"151","BYU","Roger French","Offensive Coordinator/Offensive Line Coach","White",2000,2000
"152","BYU","Mike Borich","Offensive Coordinator/Wide Receivers Coach","White",2001,2002
"153","BYU","Robbie Bosco","Offensive Coordinator/Quarterbacks Coach","White",2003,2003
"154","BYU","Todd Bradford","Offensive Coordinator/Wide Receivers Coach","White",2003,2004
"155","BYU","Robert Anae","Offensive Coordinator/Tight Ends Coach","White",2005,2010
"156","BYU","Brandon Doman","Offensive Coordinator/Quarterbacks Coach","White",2011,2012
