"","Coach","team","Race","net_ppa","net_sr","net_stuff","net_pass_sr"
"mean_ppa251","Eliah Drinkwitz","Boise State","White",0.0403405340606429,0.0142394635527726,-0.0101975931572614,-0.0222253467828222
"mean_ppa252","Eliah Drinkwitz","NC State","White",0.0512182922404404,0.0175723586540084,0.0338324302401595,0.0522054200698485
"mean_ppa253","Eman Naghavi","Louisiana Monroe","White",-0.185220042940022,-0.08269212100154,0.0446639838954257,-0.0685600772924292
"mean_ppa254","Eric Bieniemy","Colorado","Black",-0.0130757154559414,-0.0139087195707971,-0.0237199727076912,-0.00353319320641249
"mean_ppa255","Eric Eidsness","Northern Illinois","White",0.0581982211696672,0.00506079625266936,0.00691684513616486,0.0242135272767056
"mean_ppa256","Eric Evans","Western Michigan","White",0.0274744725776234,0.0223601049306954,-0.0604708091641673,0.00978754072216115
"mean_ppa257","Eric Kiesau","Boise State","White",-0.020287149056545,-0.0219794667584786,-0.00484927768780966,-0.0340371181969917
"mean_ppa258","Eric Kiesau","Colorado","White",0.00895438422244799,0.000878685077852326,-0.0160486321762442,0.023608913831978
"mean_ppa259","Eric Kiesau","Fresno State","White",-0.0251526895540863,-0.0425211374263269,0.0505966637527584,-0.0234092815279328
"mean_ppa260","Eric Kiesau","Washington","White",0.0233591918171588,0.00768107586963257,-0.00460317406473251,0.0289945585846526
"mean_ppa261","Eric Koehler","Miami (OH)","White",0.107811734055143,0.00605645591974208,-0.0129209345933897,0.0102444042711611
"mean_ppa262","Eric Morris","Texas Tech","White",0.119634215772974,-0.0113871953826271,-0.00882414717430455,-0.0299648370159205
"mean_ppa263","Eric Price","Memphis","White",-0.0555899179435207,-0.0772496670152533,0.0657171328115847,-0.0342608781614742
"mean_ppa264","Eric Price","Tulane","White",0.00384162474606551,-0.0288068476747178,0.0295620702876063,-0.0427019453366157
"mean_ppa265","Eric Price","UTEP","White",-0.000264646856131256,0.0283739485339222,-0.114563532951681,-0.00719306074636022
"mean_ppa266","Frank Cignetti Jr.","Boston College","White",0.0485875573231828,0.0219723617464727,0.00984815095384708,0.0485745950950379
"mean_ppa267","Frank Cignetti Jr.","California","White",-0.122715881050925,-0.0612034516040739,0.0504705851981496,-0.0703100242242457
"mean_ppa268","Frank Cignetti Jr.","North Carolina","White",-0.0161704132816689,0.034447075565893,-0.0164413591523566,0.0471459260395887
"mean_ppa269","Frank Cignetti Jr.","Pittsburgh","White",0.0515101405224762,0.0284509739732517,-0.0134917949955247,0.0207278028288727
"mean_ppa270","Frank Cignetti Jr.","Rutgers","White",0.00452280068630955,-0.00763270625201845,0.0529850996651804,0.00649117500736268
"mean_ppa271","Frank Giufre","Connecticut","White",-0.0820032393582479,-0.0573734738498246,0.00856442062261331,-0.0747752778049179
"mean_ppa272","Frank Ponce","Appalachian State","White",0.276857929813156,0.104116022726089,-0.0894719629511273,0.061149307571213
"mean_ppa273","Frank Scelfo","Louisiana Tech","White",0.0489703430501857,0.0371584020362262,-0.0139252603052346,-0.0079385529029723
"mean_ppa274","Frank Scelfo","UT San Antonio","White",0.0863150813700349,0.00976327651792419,-0.00283532010361501,0.000356742176856273
"mean_ppa275","Frank Verducci","Connecticut","White",0.0592480693260557,0.0246388575522556,-0.025992716966662,0.00249032809359895
"mean_ppa276","G.A. Mangus","Middle Tennessee","White",-0.00328745112780128,0.0843782832166203,0.0160455486542443,0.0839329477306461
"mean_ppa277","G.J. Kinne","Hawai'i","White",-0.00936332943533696,-0.0602153679092002,0.00601957364726155,-0.0624195717611903
"mean_ppa278","G.J. Kinne","UCF","White",-0.0764290015068179,-0.0283001239012969,-0.0133489316075757,-0.0470069436845211
"mean_ppa279","Garin Justice","UNLV","White",-0.0561415139330597,-0.0237453036402916,-0.0195637760126024,-0.00868324607617282
"mean_ppa280","Garrett Riley","SMU","White",0.109110504857284,0.0383666393333357,-0.0201028093835616,0.0393128050724057
"mean_ppa281","Garrick McGee","Arkansas","Black",0.0791681657042091,0.0271342387121075,0.000960260479866692,0.0400986423945489
"mean_ppa282","Garrick McGee","Illinois","Black",-0.0413844822027224,-0.0422807737374481,0.0187218434389222,-0.0550366316268699
"mean_ppa283","Garrick McGee","Louisville","Black",0.0500414779754387,-0.0295423384386839,-0.0135592647668566,-0.0803965526997517
"mean_ppa284","Garrick McGee","Northwestern","Black",-0.103378516681144,-0.0523477461462717,0.0163912455786802,-0.0461370677536453
"mean_ppa285","Gary Crowton","LSU","White",-0.0920938306326988,-0.0212133659036477,0.00906051008974906,-0.0644358962217166
"mean_ppa286","Gary Crowton","Maryland","White",-0.00269216142470534,0.0273370492576231,-0.0242691418389024,0.0118307685140865
"mean_ppa287","Gary Nord","Purdue","White",-0.0377868543108345,-0.029441458980869,-0.00991934823624044,-0.0255185552423152
"mean_ppa288","Gary Tranquill","Boston College","White",-0.0530527227497311,-0.0575820214694456,0.0366238782757029,-0.0677837777759117
"mean_ppa289","George Barnett","Miami (OH)","White",0.0954170573614155,0.00399209146558793,-0.00748135485906454,0.0074020224063831
"mean_ppa290","George DeLeone","Connecticut","White",-0.0431528995157493,-0.0400042886423614,0.030676814758762,0.0171712221121409
"mean_ppa291","George DeLeone","Temple","White",0.0138431072741348,0.0425932876969016,0.0279467562356161,0.0419086646844654
"mean_ppa292","George McDonald","NC State","Black",-0.0926958325480924,-0.0320770935797727,0.0114200950123657,-0.105422879868152
"mean_ppa293","George McDonald","Syracuse","Black",-0.0320067484030652,-0.0308890322188992,0.0325910157219162,-0.0254244412833273
"mean_ppa294","Gerad Parker","West Virginia","White",-0.0355035985173696,-0.0053435854732658,-0.0371535530530454,-0.0150273457329755
"mean_ppa295","Gerald Carr","Buffalo","Black",-0.0374766264072104,-0.00232865112572223,-0.034024988844266,0.0257409756660132
"mean_ppa296","Gerry Gdowski","Ohio","White",0.0532576151312828,0.0253542808669094,-0.0403403601288663,0.0621928165414159
"mean_ppa297","Gerry Gdowski","Vanderbilt","White",-0.134418381872756,-0.0719512840148667,0.0291093336117676,-0.134664179376948
"mean_ppa298","Glen Elarbee","Arkansas State","White",0.072801166376604,-0.0127609021179452,0.0262413196066341,-0.0390769395807717
"mean_ppa299","Glenn Thomas","Baylor","White",-0.1047666332865,-0.0567415084839526,0.0869254150023514,-0.0659156495728496
"mean_ppa300","Glenn Thomas","Temple","White",0.0978207315148877,0.0322187915174742,-0.0305720927803544,0.0175517120055094
"mean_ppa301","Glenn Thomas","UNLV","White",-0.0207152530745158,-0.0377942958663454,-0.0172653340408256,0.0138020941315882
