"","variable","betweenness","closeness","degree","eigen","Race","Race == ..."
"656","Kenny Perry",0,4.88679733962753e-07,1,3.74320875624074e-05,"White",TRUE
"657","Bob Elliott",0,4.88679733962753e-07,2,0.00101010970376845,"White",TRUE
"658","Raheem Morris",0,4.88679733962753e-07,1,1.13208912137697e-05,"Black",TRUE
"659","Tim Tibesar",0,4.88679733962753e-07,3,0.00158475754913,"White",TRUE
"660","Chris Cosh",0,4.88679733962753e-07,4,0.00070354207605496,"White",TRUE
"661","Blake Seiler",0,4.88679733962753e-07,2,0.000132682149709288,"White",TRUE
"662","Scottie Hazelton",0,4.88679733962753e-07,4,0.0132012614717452,"White",TRUE
"663","Joe Klanderman",0,4.88679733962753e-07,1,5.5751282085827e-05,"White",TRUE
"664","Mike Dietzel",0,4.88679733962753e-07,2,8.85364560182193e-07,"White",TRUE
"665","Ben Needham",0,4.88679733962753e-07,1,1.95802676474537e-05,"White",TRUE
"666","Jeff Burrow",0,4.88679733962753e-07,1,1.95802676474574e-05,"Black",TRUE
"667","Tom Kaufman",0,4.88679733962753e-07,1,4.47028259108741e-06,"White",TRUE
"668","Mike Major",0,4.88679733962753e-07,1,1.45255367732194e-05,"White",TRUE
"669","John Goodner",0,4.88679733962753e-07,1,4.74832492426608e-05,"White",TRUE
"670","Mike Archer",0,4.88679733962753e-07,2,4.37433219151997e-05,"White",TRUE
"671","Steve Brown",0,4.88679733962753e-07,2,5.59752267490681e-05,"Black",TRUE
"672","Brad White",0,4.88679733962753e-07,1,0.000798929844665972,"White",TRUE
"673","Jon Sumrall",0,4.88679733962753e-07,2,0.000271913294297714,"White",TRUE
"674","Robert Wimberly",0,4.88679733962753e-07,2,2.57115956288354e-05,"Black",TRUE
"675","Vantz Singletary",0,4.88679733962753e-07,1,2.48605542254696e-05,"Black",TRUE
"676","Scott Symons",0,4.88679733962753e-07,1,5.44419353373865e-05,"White",TRUE
"677","Tony Tademy",0,4.88679733962753e-07,1,1.28330863541079e-06,"Black",TRUE
"678","Brent Pry",0,4.88679733962753e-07,2,0.000294750468670735,"White",TRUE
"679","Greg Stewart",0,4.88679733962753e-07,2,3.79258778230358e-05,"White",TRUE
"680","James Willis",0,4.88679733962753e-07,2,7.8337265919935e-05,"Black",TRUE
"681","Melvin Smith",0,4.88679733962753e-07,1,3.09084552946377e-05,"Black",TRUE
"682","Mike Lucas",0,4.88679733962753e-07,1,1.54542276473107e-05,"White",TRUE
"683","Patrick Toney",0,4.88679733962753e-07,1,8.63228337603463e-05,"White",TRUE
"684","Mike Collins",0,4.88679733962753e-07,2,4.22373464430593e-07,"White",TRUE
"685","Kim Dameron",0,4.88679733962753e-07,2,4.73996154376595e-05,"White",TRUE
