"","College","Coach","Role","Race","year_start","year_end"
"113","Boston College","Don Brown","Defensive Coordinator/Linebackers Coach","White",2013,2015
"114","Boston College","Jim Reid","Defensive Coordinator/Linebackers Coach","White",2016,2019
"115","Boston College","Anthony Campanile","Defensive Coordinator/Defensive Backs Coach","White",2018,2018
"116","Boston College","Tem Lukabu","Defensive Coordinator","Black",2020,2021
"117","Bowling Green","Tim Beckman","Defensive Coordinator","White",2001,2002
"118","Bowling Green","John Lovett","Defensive Coordinator","White",2005,2006
"119","Bowling Green","Mike Ward","Defensive Coordinator","White",2007,2008
"120","Bowling Green","Mike Elko","Defensive Coordinator/Linebackers Coach","White",2009,2013
"121","Bowling Green","Shannon Morrison","Defensive Coordinator/Safeties Coach","Black",2009,2009
"122","Bowling Green","Kim McCloud","Defensive Coordinator","Black",2014,2014
"123","Bowling Green","Brian Ward","Defensive Coordinator/Linebackers Coach","White",2015,2015
"124","Bowling Green","Marcus White","Defensive Coordinator/Defensive Line Coach","Black",2016,2016
"125","Bowling Green","Perry Eliano","Defensive Coordinator/Safeties Coach","Black",2016,2017
"126","Bowling Green","Carl Pelini","Defensive Coordinator","White",2018,2018
"127","Bowling Green","Brian VanGorder","Defensive Coordinator","White",2019,2020
"128","Bowling Green","Eric Lewis","Defensive Coordinator/Cornerbacks Coach","Black",2021,2021
"129","Buffalo","Joe Reich","Defensive Coordinator/Inside Linebackers Coach","White",2000,2000
"130","Buffalo","Thurmond Moore","Defensive Coordinator","Black",2001,2003
"131","Buffalo","Tom Jones","Defensive Coordinator/Defensive Line Coach","White",2004,2005
"132","Buffalo","Jimmy Williams","Defensive Coordinator/Linebackers Coach","Black",2006,2008
"133","Buffalo","Fred Reed","Defensive Coordinator/Safeties Coach","Black",2009,2009
"134","Buffalo","William Inge","Defensive Coordinator/Linebackers Coach","Black",2010,2011
"135","Buffalo","Lou Tepper","Defensive Coordinator/Linebackers Coach","White",2012,2014
"136","Buffalo","Brian Borland","Defensive Coordinator/Defensive Backs Coach","White",2015,2020
"137","Buffalo","Chris Simpson","Defensive Coordinator/Linebackers Coach","Black",2020,2020
"138","Buffalo","Joe Cauthen","Defensive Coordinator/Linebackers Coach","White",2021,2021
"139","BYU","Ken Schmidt","Defensive Coordinator/Linebackers Coach","White",2001,2002
"140","BYU","Bronco Mendenhall","Defensive Coordinator/Safeties Coach","White",2003,2004
"141","BYU","Jaime Hill","Defensive Coordinator/Defensive Backs Coach","Black",2008,2010
"142","BYU","Nick Howell","Defensive Coordinator/Defensive Backs Coach","White",2013,2015
"143","BYU","Ilaisa Tuiaki","Defensive Coordinator/Linebackers Coach","Black",2016,2021
"144","California","Lyle Setencich","Defensive Coordinator/Linebackers Coach","White",2000,2001
"145","California","Bob Gregory","Defensive Coordinator","White",2002,2009
"146","California","Clancy Pendergast","Defensive Coordinator","White",2010,2012
"147","California","Andy Buh","Defensive Coordinator/Linebackers Coach","White",2013,2013
"148","California","Art Kaufman","Defensive Coordinator","White",2014,2016
"149","California","Tim DeRuyter","Defensive Coordinator/Inside Linebackers Coach","White",2017,2019
"150","California","Peter Sirmon","Defensive Coordinator/Inside Linebackers Coach","White",2019,2020
"151","Central Michigan","John Milligan","Defensive Coordinator/Inside Linebackers Coach","White",2000,2002
"152","Central Michigan","Bart Bartolomeo","Defensive Coordinator/Cornerbacks Coach","White",2003,2003
"153","Central Michigan","John Jancek","Defensive Coordinator/Linebackers Coach","White",2004,2004
"154","Central Michigan","Bob Diaco","Defensive Coordinator/Linebackers Coach","White",2005,2005
"155","Central Michigan","Mike Elston","Defensive Coordinator/Defensive Line Coach","White",2005,2005
"156","Central Michigan","Joe Tresey","Defensive Coordinator/Safeties Coach","White",2006,2006
"157","Central Michigan","Tim Banks","Defensive Coordinator/Defensive Backs Coach","Black",2007,2009
"158","Central Michigan","Joe Tumpkin","Defensive Coordinator","Black",2010,2014
"159","Central Michigan","Greg Colby","Defensive Coordinator/Linebackers Coach","White",2015,2018
"160","Central Michigan","Robb Akey","Defensive Coordinator","White",2019,2021
"161","Charlotte","Matt Wallerstedt","Defensive Coordinator/Inside Linebackers Coach","White",2015,2017
"162","Charlotte","Chip West","Defensive Coordinator/Cornerbacks Coach","Black",2018,2018
"163","Charlotte","Glenn Spencer","Defensive Coordinator/Linebackers Coach","White",2018,2018
"164","Charlotte","Brandon Cooper","Defensive Coordinator/Safeties Coach","Black",2019,2021
"165","Charlotte","Marcus West","Defensive Coordinator/Defensive Line Coach","Black",2019,2019
"166","Cincinnati","Rick Smith","Defensive Coordinator","White",2000,2000
"167","Cincinnati","A.J. Christoff","Defensive Coordinator","White",2001,2002
"168","Cincinnati","Mark Criner","Defensive Coordinator/Linebackers Coach","White",2003,2003
"169","Cincinnati","Mike Kolakowski","Defensive Coordinator/Safeties Coach","White",2003,2003
"170","Cincinnati","Pat Narduzzi","Defensive Coordinator","White",2004,2006
"171","Cincinnati","Joe Tresey","Defensive Coordinator","White",2007,2008
"172","Cincinnati","Bob Diaco","Defensive Coordinator","White",2009,2009
"173","Cincinnati","John Jancek","Defensive Coordinator/Linebackers Coach","White",2010,2012
"174","Cincinnati","Tim Banks","Defensive Coordinator/Defensive Backs Coach","Black",2010,2011
"175","Cincinnati","Art Kaufman","Defensive Coordinator/Linebackers Coach","White",2013,2013
"176","Cincinnati","Hank Hughes","Defensive Coordinator/Linebackers Coach","White",2014,2014
"177","Cincinnati","Robert Prunty","Defensive Coordinator/Defensive Line Coach","Black",2014,2016
"178","Cincinnati","Steve Clinkscale","Defensive Coordinator/Defensive Backs Coach","Black",2015,2015
"179","Cincinnati","Marcus Freeman","Defensive Coordinator/Linebackers Coach","Black",2017,2020
"180","Cincinnati","Mike Tressel","Defensive Coordinator/Linebackers Coach","White",2021,2021
"181","Clemson","Reggie Herring","Defensive Coordinator/Linebackers Coach","White",2000,2001
"182","Clemson","John Lovett","Defensive Coordinator/Defensive Backs Coach","White",2002,2004
"183","Clemson","Vic Koenning","Defensive Coordinator/Defensive Backs Coach","White",2005,2008
"184","Clemson","Charlie Harbison","Defensive Coordinator/Defensive Backs Coach","Black",2009,2012
"185","Clemson","Kevin Steele","Defensive Coordinator/Linebackers Coach","White",2009,2011
"186","Clemson","Brent Venables","Defensive Coordinator/Linebackers Coach","White",2012,2019
"187","Clemson","Marion Hobby","Defensive Coordinator/Defensive Ends Coach","Black",2013,2016
"188","Coastal Carolina","Mickey Matthews","Defensive Coordinator/Defensive Backs Coach","White",2017,2017
"189","Coastal Carolina","Marvin Sanders","Defensive Coordinator","Black",2018,2018
"190","Coastal Carolina","Chad Staggs","Defensive Coordinator/Linebackers Coach","White",2019,2021
"191","Colorado","Tom McMahon","Defensive Coordinator/Defensive Backs Coach","White",2000,2001
"192","Colorado","Vince Okruch","Defensive Coordinator/Outside Linebackers Coach","White",2000,2003
"193","Colorado","Mike Hankwitz","Defensive Coordinator/Outside Linebackers Coach","White",2004,2005
"194","Colorado","Ron Collins","Defensive Coordinator","White",2006,2010
"195","Colorado","Greg Brown","Defensive Coordinator/Defensive Backs Coach","White",2011,2012
"196","Colorado","Kent Baer","Defensive Coordinator/Linebackers Coach","White",2013,2014
"197","Colorado","Jim Leavitt","Defensive Coordinator/Linebackers Coach","White",2015,2016
"198","Colorado","D.J. Eliot","Defensive Coordinator/Outside Linebackers Coach","White",2017,2018
"199","Colorado","Tyson Summers","Defensive Coordinator/Safeties Coach","White",2019,2020
"200","Colorado","Chris Wilson","Defensive Line Coach/Defensive Coordinator","Black",2021,2021
"201","Colorado State","Larry Kerr","Defensive Coordinator/Linebackers Coach","White",2000,2010
"202","Colorado State","Steve Stanard","Defensive Coordinator/Linebackers Coach","White",2003,2007
"203","Colorado State","Al Simmons","Defensive Coordinator/Defensive Backs Coach","Black",2012,2014
"204","Colorado State","Marty English","Defensive Coordinator/Linebackers Coach","White",2012,2017
"205","Colorado State","Tyson Summers","Defensive Coordinator/Safeties Coach","White",2015,2015
"206","Colorado State","John Jancek","Defensive Coordinator","White",2018,2019
"207","Colorado State","Chuck Heater","Defensive Coordinator/Safeties Coach","White",2020,2021
"208","Duke","Bob Trott","Defensive Coordinator","White",2000,2001
"209","Duke","Ted Roof","Defensive Coordinator","White",2002,2002
"210","Duke","Jerry Azzinaro","Defensive Coordinator/Outside Linebackers Coach","White",2004,2006
"211","Duke","Scott Brown","Defensive Coordinator/Defensive Line Coach","White",2004,2007
"212","Duke","Marion Hobby","Defensive Coordinator/Defensive Line Coach","Black",2008,2010
"213","Duke","Mike MacIntyre","Defensive Coordinator","White",2008,2009
"214","Duke","Jim Knowles","Defensive Coordinator","White",2010,2017
"215","Duke","Ben Albert","Defensive Coordinator/Defensive Line Coach","Black",2018,2021
"216","Duke","Matt Guerrieri","Defensive Coordinator/Defensive Backs Coach","White",2018,2021
"217","East Carolina","Tim Rose","Defensive Coordinator/Linebackers Coach","White",2000,2002
"218","East Carolina","Greg Hudson","Defensive Coordinator/Safeties Coach","White",2005,2009
"219","East Carolina","Brian Mitchell","Defensive Coordinator/Defensive Backs Coach","Black",2010,2012
"220","East Carolina","Rick Smith","Defensive Coordinator/Defensive Backs Coach","White",2013,2015
"221","East Carolina","Kenwick Thompson","Defensive Coordinator/Outside Linebackers Coach","Black",2016,2017
"222","East Carolina","David Blackwell","Defensive Coordinator/Linebackers Coach","White",2018,2018
"223","East Carolina","Bob Trott","Defensive Coordinator/Safeties Coach","White",2019,2019
"224","East Carolina","Blake Harrell","Defensive Coordinator/Inside Linebackers Coach","White",2020,2021
"225","Eastern Michigan","Billy Harris","Defensive Coordinator/Defensive Backs Coach","White",2000,2002
"226","Eastern Michigan","Tim Rose","Defensive Coordinator/Defensive Backs Coach","White",2003,2003
"227","Eastern Michigan","Jay Peterson","Defensive Coordinator/Linebackers Coach","Black",2004,2008
"228","Eastern Michigan","Eric Lewis","Defensive Coordinator/Defensive Backs Coach","Black",2009,2009
"229","Eastern Michigan","Phil Snow","Defensive Coordinator/Defensive Backs Coach","White",2010,2012
"230","Eastern Michigan","Brad McCaslin","Defensive Coordinator/Inside Linebackers Coach","White",2014,2015
"231","Eastern Michigan","Neal Neathery","Defensive Coordinator/Linebackers Coach","White",2016,2020
"232","Florida Atlantic","Kirk Hoza","Defensive Coordinator/Defensive Backs Coach","White",2005,2009
"233","Florida Atlantic","Kurt Van Valkenburgh","Defensive Coordinator/Outside Linebackers Coach","White",2011,2011
"234","Florida Atlantic","Marvin Sanders","Defensive Coordinator","Black",2012,2012
"235","Florida Atlantic","Pete Rekstis","Defensive Coordinator","White",2013,2013
"236","Florida Atlantic","Roc Bellantoni","Defensive Coordinator/Linebackers Coach","White",2014,2016
"237","Florida Atlantic","Chris Kiffin","Defensive Coordinator/Linebackers Coach","White",2017,2017
"238","Florida Atlantic","Tony Pecoraro","Defensive Coordinator/Linebackers Coach","White",2018,2018
"239","Florida Atlantic","Glenn Spencer","Defensive Coordinator/Linebackers Coach","White",2019,2019
"240","Florida Atlantic","Jim Leavitt","Defensive Coordinator","White",2020,2020
"241","Florida International","Bernard Clark","Defensive Coordinator/Linebackers Coach","Black",2005,2005
"242","Florida International","Kevin Fouquier","Defensive Coordinator/Defensive Line Coach","White",2006,2006
"243","Florida International","Phil Galiano","Defensive Coordinator/Linebackers Coach","White",2007,2009
"244","Florida International","Geoff Collins","Defensive Coordinator","White",2010,2010
"245","Florida International","Todd Orlando","Defensive Coordinator/Inside Linebackers Coach","White",2011,2012
"246","Florida International","Josh Conklin","Defensive Coordinator","White",2013,2014
"247","Florida International","Matt House","Defensive Coordinator/Linebackers Coach","White",2015,2015
"248","Florida International","Ron Cooper","Defensive Coordinator/Linebackers Coach","Black",2016,2016
"249","Florida International","Brent Guy","Defensive Coordinator/Linebackers Coach","White",2017,2018
"250","Florida International","Jeff Copp","Defensive Coordinator/Linebackers Coach","White",2019,2020
"251","Florida International","Jerod Kruse","Defensive Coordinator/Defensive Backs Coach","White",2019,2020
"252","Florida","Jon Hoke","Defensive Coordinator/Defensive Backs Coach","White",2001,2001
"253","Florida","John Thompson","Defensive Coordinator/Inside Linebackers Coach","White",2002,2002
"254","Florida","Charlie Strong","Defensive Coordinator/Defensive Ends Coach","Black",2003,2009
"255","Florida","Greg Mattison","Defensive Coordinator/Defensive Line Coach","White",2005,2007
"256","Florida","Chuck Heater","Defensive Coordinator/Safeties Coach","White",2010,2010
"257","Florida","Teryl Austin","Defensive Coordinator/Cornerbacks Coach","Black",2010,2010
"258","Florida","Dan Quinn","Defensive Coordinator/Defensive Line Coach","White",2011,2012
"259","Florida","D.J. Durkin","Defensive Coordinator/Linebackers Coach","White",2013,2014
"260","Florida","Geoff Collins","Defensive Coordinator","White",2015,2016
"261","Florida","Randy Shannon","Defensive Coordinator/Linebackers Coach","Black",2015,2017
"262","Florida","Chris Rumph","Defensive Coordinator/Defensive Line Coach","Black",2017,2017
"263","Florida","Todd Grantham","Defensive Coordinator","White",2018,2021
"264","Florida Atlantic","Mike Stoops","Safeties Coach/Defensive Coordinator","White",2021,2021
"265","Florida State","Mickey Andrews","Defensive Coordinator/Defensive Backs Coach","White",2000,2009
"266","Florida State","Mark Stoops","Defensive Coordinator/Defensive Backs Coach","White",2010,2012
"267","Florida State","Jeremy Pruitt","Defensive Coordinator/Defensive Backs Coach","White",2013,2013
"268","Florida State","Charles Kelly","Defensive Coordinator/Defensive Backs Coach","White",2014,2017
"269","Florida State","Harlon Barnett","Defensive Coordinator/Defensive Backs Coach","Black",2018,2019
"270","Florida State","Adam Fuller","Defensive Coordinator","White",2020,2021
"271","Fresno State","Kevin Coyle","Defensive Coordinator","White",2000,2000
"272","Fresno State","Dan Brown","Defensive Coordinator","White",2001,2008
"273","Fresno State","Randy Stewart","Defensive Coordinator/Safeties Coach","White",2009,2011
"274","Fresno State","Nick Toth","Defensive Coordinator/Inside Linebackers Coach","White",2012,2015
"275","Fresno State","Lorenzo Ward","Defensive Coordinator/Defensive Backs Coach","Black",2016,2016
"276","Fresno State","Orlondo Steinauer","Defensive Coordinator","Black",2017,2017
"277","Fresno State","Bert Watts","Defensive Coordinator","White",2018,2019
"278","Fresno State","William Inge","Defensive Coordinator/Linebackers Coach","Black",2020,2021
"279","Georgia","Gary Gibbs","Defensive Coordinator/Linebackers Coach","White",2000,2000
"280","Georgia","Brian VanGorder","Defensive Coordinator/Linebackers Coach","White",2001,2004
"281","Georgia","Willie Martinez","Defensive Coordinator/Defensive Backs Coach","White",2005,2009
"282","Georgia","John Jancek","Defensive Coordinator/Linebackers Coach","White",2009,2009
"283","Georgia","Todd Grantham","Defensive Coordinator/Outside Linebackers Coach","White",2010,2013
"284","Georgia","Jeremy Pruitt","Defensive Coordinator/Defensive Backs Coach","White",2014,2015
"285","Georgia","Mel Tucker","Defensive Coordinator/Defensive Backs Coach","Black",2016,2018
"286","Georgia","Dan Lanning","Defensive Coordinator/Outside Linebackers Coach","White",2019,2021
"287","Georgia","Glenn Schumann","Defensive Coordinator/Inside Linebackers Coach","White",2019,2021
"288","Georgia Southern","Jack Curtis","Defensive Coordinator/Defensive Backs Coach","White",2014,2015
"289","Georgia Southern","Lorenzo Costantini","Defensive Coordinator","White",2016,2017
"290","Georgia Southern","Scot Sloan","Defensive Coordinator/Safeties Coach","White",2018,2021
"291","Georgia State","Jesse Minter","Defensive Coordinator","White",2013,2016
"292","Georgia State","Nate Fuqua","Defensive Coordinator/Outside Linebackers Coach","White",2017,2021
"293","Georgia Tech","Ted Roof","Defensive Coordinator/Linebackers Coach","White",2000,2017
"294","Georgia Tech","Jon Tenuta","Defensive Coordinator/Defensive Backs Coach","White",2002,2007
"295","Georgia Tech","Dave Wommack","Defensive Coordinator/Safeties Coach","White",2008,2009
"296","Georgia Tech","Al Groh","Defensive Coordinator","White",2010,2012
"297","Georgia Tech","Nate Woody","Defensive Coordinator/Outside Linebackers Coach","White",2018,2018
"298","Georgia Tech","Andrew Thacker","Defensive Coordinator/Linebackers Coach","White",2019,2021
"299","Georgia Tech","Nathan Burton","Defensive Coordinator/Safeties Coach","White",2020,2021
"300","Hawai'i","Kevin Lempa","Defensive Coordinator","White",2000,2016
"301","Hawai'i","George Lumpkin","Defensive Coordinator","White",2004,2004
"302","Hawai'i","Jerry Glanville","Defensive Coordinator","White",2005,2007
"303","Hawai'i","Cal Lee","Defensive Coordinator","White",2008,2009
"304","Hawai'i","Dave Aranda","Defensive Coordinator/Linebackers Coach","Other",2010,2011
"305","Hawai'i","Thom Kaumeyer","Defensive Coordinator/Linebackers Coach","White",2012,2013
"306","Hawai'i","Kevin Clune","Defensive Coordinator/Linebackers Coach","White",2014,2014
"307","Hawai'i","Tom Mason","Defensive Coordinator/Inside Linebackers Coach","White",2015,2015
"308","Hawai'i","Legi Suiaunoa","Defensive Coordinator/Defensive Tackles Coach","Other",2017,2017
"309","Hawai'i","Corey Batoon","Defensive Coordinator/Safeties Coach","White",2018,2019
"310","Hawai'i","Jacob Yoro","Defensive Coordinator/Linebackers Coach","Other",2020,2020
